base_failure_rate,failure_sd,true_alpha,eta,config_id,n_pcp,n_spec,n_years,refs_per_pcp_year,true_pi
0.02,0.005,0.02,1,1,15,20,6,4,-0.07
0.05,0.005,0.02,1,2,15,20,6,4,-0.07
0.09,0.005,0.02,1,3,15,20,6,4,-0.07
0.15,0.005,0.02,1,4,15,20,6,4,-0.07
0.2,0.005,0.02,1,5,15,20,6,4,-0.07
0.02,0.01,0.02,1,6,15,20,6,4,-0.07
0.05,0.01,0.02,1,7,15,20,6,4,-0.07
0.09,0.01,0.02,1,8,15,20,6,4,-0.07
0.15,0.01,0.02,1,9,15,20,6,4,-0.07
0.2,0.01,0.02,1,10,15,20,6,4,-0.07
0.05,0.02,0.02,1,11,15,20,6,4,-0.07
0.09,0.02,0.02,1,12,15,20,6,4,-0.07
0.15,0.02,0.02,1,13,15,20,6,4,-0.07
0.2,0.02,0.02,1,14,15,20,6,4,-0.07
0.05,0.03,0.02,1,15,15,20,6,4,-0.07
0.09,0.03,0.02,1,16,15,20,6,4,-0.07
0.15,0.03,0.02,1,17,15,20,6,4,-0.07
0.2,0.03,0.02,1,18,15,20,6,4,-0.07
0.09,0.05,0.02,1,19,15,20,6,4,-0.07
0.15,0.05,0.02,1,20,15,20,6,4,-0.07
0.2,0.05,0.02,1,21,15,20,6,4,-0.07
0.09,0.08,0.02,1,22,15,20,6,4,-0.07
0.15,0.08,0.02,1,23,15,20,6,4,-0.07
0.2,0.08,0.02,1,24,15,20,6,4,-0.07
0.02,0.005,0.05,1,25,15,20,6,4,-0.07
0.05,0.005,0.05,1,26,15,20,6,4,-0.07
0.09,0.005,0.05,1,27,15,20,6,4,-0.07
0.15,0.005,0.05,1,28,15,20,6,4,-0.07
0.2,0.005,0.05,1,29,15,20,6,4,-0.07
0.02,0.01,0.05,1,30,15,20,6,4,-0.07
0.05,0.01,0.05,1,31,15,20,6,4,-0.07
0.09,0.01,0.05,1,32,15,20,6,4,-0.07
0.15,0.01,0.05,1,33,15,20,6,4,-0.07
0.2,0.01,0.05,1,34,15,20,6,4,-0.07
0.05,0.02,0.05,1,35,15,20,6,4,-0.07
0.09,0.02,0.05,1,36,15,20,6,4,-0.07
0.15,0.02,0.05,1,37,15,20,6,4,-0.07
0.2,0.02,0.05,1,38,15,20,6,4,-0.07
0.05,0.03,0.05,1,39,15,20,6,4,-0.07
0.09,0.03,0.05,1,40,15,20,6,4,-0.07
0.15,0.03,0.05,1,41,15,20,6,4,-0.07
0.2,0.03,0.05,1,42,15,20,6,4,-0.07
0.09,0.05,0.05,1,43,15,20,6,4,-0.07
0.15,0.05,0.05,1,44,15,20,6,4,-0.07
0.2,0.05,0.05,1,45,15,20,6,4,-0.07
0.09,0.08,0.05,1,46,15,20,6,4,-0.07
0.15,0.08,0.05,1,47,15,20,6,4,-0.07
0.2,0.08,0.05,1,48,15,20,6,4,-0.07
0.02,0.005,0.1,1,49,15,20,6,4,-0.07
0.05,0.005,0.1,1,50,15,20,6,4,-0.07
0.09,0.005,0.1,1,51,15,20,6,4,-0.07
0.15,0.005,0.1,1,52,15,20,6,4,-0.07
0.2,0.005,0.1,1,53,15,20,6,4,-0.07
0.02,0.01,0.1,1,54,15,20,6,4,-0.07
0.05,0.01,0.1,1,55,15,20,6,4,-0.07
0.09,0.01,0.1,1,56,15,20,6,4,-0.07
0.15,0.01,0.1,1,57,15,20,6,4,-0.07
0.2,0.01,0.1,1,58,15,20,6,4,-0.07
0.05,0.02,0.1,1,59,15,20,6,4,-0.07
0.09,0.02,0.1,1,60,15,20,6,4,-0.07
0.15,0.02,0.1,1,61,15,20,6,4,-0.07
0.2,0.02,0.1,1,62,15,20,6,4,-0.07
0.05,0.03,0.1,1,63,15,20,6,4,-0.07
0.09,0.03,0.1,1,64,15,20,6,4,-0.07
0.15,0.03,0.1,1,65,15,20,6,4,-0.07
0.2,0.03,0.1,1,66,15,20,6,4,-0.07
0.09,0.05,0.1,1,67,15,20,6,4,-0.07
0.15,0.05,0.1,1,68,15,20,6,4,-0.07
0.2,0.05,0.1,1,69,15,20,6,4,-0.07
0.09,0.08,0.1,1,70,15,20,6,4,-0.07
0.15,0.08,0.1,1,71,15,20,6,4,-0.07
0.2,0.08,0.1,1,72,15,20,6,4,-0.07
0.02,0.005,0.2,1,73,15,20,6,4,-0.07
0.05,0.005,0.2,1,74,15,20,6,4,-0.07
0.09,0.005,0.2,1,75,15,20,6,4,-0.07
0.15,0.005,0.2,1,76,15,20,6,4,-0.07
0.2,0.005,0.2,1,77,15,20,6,4,-0.07
0.02,0.01,0.2,1,78,15,20,6,4,-0.07
0.05,0.01,0.2,1,79,15,20,6,4,-0.07
0.09,0.01,0.2,1,80,15,20,6,4,-0.07
0.15,0.01,0.2,1,81,15,20,6,4,-0.07
0.2,0.01,0.2,1,82,15,20,6,4,-0.07
0.05,0.02,0.2,1,83,15,20,6,4,-0.07
0.09,0.02,0.2,1,84,15,20,6,4,-0.07
0.15,0.02,0.2,1,85,15,20,6,4,-0.07
