rep,config_id,true_alpha,base_failure_rate,failure_sd,eta,alpha_hat,alpha_se,pi_hat,converged,n_patients,n_specs
1,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,336,20
2,1,0.02,0.02,0.005,1,22.05104519147091,36.19392863231115,-0.07928440416815287,TRUE,367,20
3,1,0.02,0.02,0.005,1,0,0,-0.08348487198043845,TRUE,374,20
4,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,357,20
5,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,389,20
6,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,378,20
7,1,0.02,0.02,0.005,1,0.012176522784885688,1.1919868334653598,-0.07322101147594953,TRUE,379,20
8,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,323,20
9,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,357,20
10,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,384,20
11,1,0.02,0.02,0.005,1,0.9054374685691333,1.1489860515008914,-0.05770591396272704,TRUE,378,20
12,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,336,20
13,1,0.02,0.02,0.005,1,1.6806025631040244,1.240339728926637,-0.08873284318554595,TRUE,395,20
14,1,0.02,0.02,0.005,1,0.4214481311569164,1.3830906408162846,-0.08066620982006487,TRUE,341,20
15,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,388,20
16,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,359,20
17,1,0.02,0.02,0.005,1,0.5906902495824029,1.3397993341926207,-0.07290030814974106,TRUE,352,20
18,1,0.02,0.02,0.005,1,0.40737152811258576,1.3332562188898662,-0.06361409469670656,TRUE,319,20
19,1,0.02,0.02,0.005,1,1.6985421875364097,1.9588374173060745,-0.07102479416257708,TRUE,364,20
20,1,0.02,0.02,0.005,1,1.9760240951268755,2.1803347145787373,-0.07187370023913933,TRUE,360,20
21,1,0.02,0.02,0.005,1,0.8660657866216273,0.7715870730484414,-0.07434333572165903,TRUE,352,20
22,1,0.02,0.02,0.005,1,NA,NA,NA,FALSE,388,20
