config_id,true_alpha,base_failure_rate,failure_sd,eta,n_reps,mean_alpha,median_alpha,bias,rel_bias,rmse,sd_hat,mean_se,coverage_95,reject_null,alpha_label
1,0.02,0.02,0.005,1,25,1.7618514097940858,0.8660657866216273,1.7418514097940858,87.09257048970429,4.540295378078812,4.279339389536148,2.7502971043848072,0.88,0.043478260869565216,alpha = 0.02
2,0.02,0.05,0.005,1,33,0.8155940297369606,0.7333248594091939,0.7955940297369606,39.77970148684803,0.9744480398652219,0.5713774757672941,0.9217233894952741,0.9696969696969697,0.030303030303030304,alpha = 0.02
3,0.02,0.09,0.005,1,25,0.4347988278273792,0.3191946919419423,0.4147988278273792,20.739941391368962,0.5361927385912024,0.34677770459943935,0.630795543279566,0.96,0,alpha = 0.02
4,0.02,0.15,0.005,1,25,0.3953917117702076,0.3518986666944993,0.3753917117702076,18.769585588510378,0.49413890019270096,0.3279581963609041,0.5426967786529086,1,0,alpha = 0.02
5,0.02,0.2,0.005,1,28,0.4520421140751346,0.41529249086435505,0.4320421140751346,21.602105703756727,0.5509208424570615,0.3481110304430039,0.46101569015083593,0.8214285714285714,0.11538461538461539,alpha = 0.02
6,0.02,0.02,0.01,1,31,1.4382373090514062,1.3489943878227302,1.4182373090514062,70.91186545257031,1.714185488257081,0.9787420416762799,1.634270375039579,0.967741935483871,0,alpha = 0.02
7,0.02,0.05,0.01,1,28,0.7234428708241705,0.5291119471745501,0.7034428708241705,35.17214354120852,0.9071318164022106,0.5832722277469191,0.8481643421102948,0.9285714285714286,0.037037037037037035,alpha = 0.02
8,0.02,0.09,0.01,1,27,0.6709322759048542,0.6602970976566979,0.6509322759048541,32.546613795242706,0.7491784550498634,0.37794990010877855,0.6930269487934594,0.9629629629629629,0.037037037037037035,alpha = 0.02
9,0.02,0.15,0.01,1,23,0.39811679248824805,0.2399684137667589,0.37811679248824803,18.9058396244124,0.5530465756443971,0.41266477368104615,0.5132286400753707,0.8260869565217391,0.13636363636363635,alpha = 0.02
10,0.02,0.2,0.01,1,29,0.3508812985490844,0.2978661087927864,0.3308812985490844,16.54406492745422,0.4204111460731015,0.26394194724111897,0.43570923861602323,0.896551724137931,0.07407407407407407,alpha = 0.02
11,0.02,0.05,0.02,1,29,0.6783644315254561,0.5334022363504947,0.6583644315254561,32.918221576272806,0.9219333640922173,0.6568051649224916,0.8922658836758337,0.9655172413793104,0.034482758620689655,alpha = 0.02
12,0.02,0.09,0.02,1,30,0.6259568716032662,0.5333294638394815,0.6059568716032662,30.29784358016331,0.7825138617144147,0.5035846128253636,0.6782069697579892,0.9666666666666667,0.06666666666666667,alpha = 0.02
13,0.02,0.15,0.02,1,27,0.5860453943544388,0.5002427424340316,0.5660453943544388,28.302269717721938,0.7126376375464024,0.4411965974397106,0.5614521807046801,0.8518518518518519,0.14814814814814814,alpha = 0.02
14,0.02,0.2,0.02,1,31,0.3266662012461688,0.26320143905546306,0.3066662012461688,15.333310062308438,0.3983460653745432,0.2584375032892446,0.4862067245910228,0.967741935483871,0.03225806451612903,alpha = 0.02
15,0.02,0.05,0.03,1,26,0.5796261980638797,0.4584830406205558,0.5596261980638797,27.98130990319398,0.7372127767965982,0.4894009037396918,0.9586671967374029,1,0,alpha = 0.02
16,0.02,0.09,0.03,1,30,0.447887346197444,0.3833032198595818,0.427887346197444,21.3943673098722,0.5469242495630844,0.3464677231186464,0.6557231523057241,0.9333333333333333,0.034482758620689655,alpha = 0.02
17,0.02,0.15,0.03,1,23,0.4247822615558223,0.33557953643445587,0.4047822615558223,20.239113077791117,0.5108362294832179,0.31862020736399477,0.5434974167785092,0.9565217391304348,0.043478260869565216,alpha = 0.02
18,0.02,0.2,0.03,1,23,0.31025849770604524,0.27186365465950485,0.2902584977060452,14.512924885302262,0.3568604645314061,0.21226977904040972,0.4533631096968715,0.9565217391304348,0,alpha = 0.02
19,0.02,0.09,0.05,1,22,0.4416918212024175,0.3871034468252981,0.42169182120241755,21.084591060120875,0.5188100533654862,0.30933702893599446,0.669479186262224,1,0,alpha = 0.02
20,0.02,0.15,0.05,1,26,0.2997387303318978,0.20513455092897204,0.2797387303318978,13.98693651659489,0.3886971193155294,0.27521802457169886,0.5267006254248554,1,0,alpha = 0.02
21,0.02,0.2,0.05,1,33,0.40359545976018574,0.2854970179424551,0.3835954597601857,19.179772988009287,0.5120183917852066,0.3444004198269561,0.4829465523795341,0.9696969696969697,0.06060606060606061,alpha = 0.02
22,0.02,0.09,0.08,1,27,0.5308312604894894,0.3561944244491421,0.5108312604894893,25.54156302447447,0.7268143739036217,0.5268697492787031,0.7122170858302462,0.9629629629629629,0.037037037037037035,alpha = 0.02
23,0.02,0.15,0.08,1,28,0.4387694400764842,0.364000469083809,0.4187694400764842,20.93847200382421,0.5165147571956842,0.30790512083904253,0.4955776486526132,0.9285714285714286,0.037037037037037035,alpha = 0.02
24,0.02,0.2,0.08,1,31,0.3699390912202999,0.2638163350119682,0.34993909122029987,17.49695456101499,0.48495077213020377,0.34128758150047667,0.47150623600382713,0.8387096774193549,0.10344827586206896,alpha = 0.02
25,0.05,0.02,0.005,1,23,5.363996162076448,0.7704501654479314,5.313996162076448,106.27992324152895,20.338907159682265,20.07367062564458,8.818904862597925,0.9130434782608695,0.045454545454545456,alpha = 0.05
26,0.05,0.05,0.005,1,23,0.7806990682122495,0.5538647845121837,0.7306990682122495,14.61398136424499,1.015242080426046,0.7206781254919121,0.953291813534639,0.9565217391304348,0.043478260869565216,alpha = 0.05
27,0.05,0.09,0.005,1,30,0.5833694478687075,0.500253859195523,0.5333694478687074,10.667388957374147,0.6898803539423244,0.44503227488826513,0.6399687614164193,0.9,0.03571428571428571,alpha = 0.05
28,0.05,0.15,0.005,1,24,0.44121985180751194,0.3374137144226978,0.39121985180751195,7.824397036150239,0.5309171970023742,0.36663465661926997,0.5193077072509666,0.9166666666666666,0.043478260869565216,alpha = 0.05
29,0.05,0.2,0.005,1,32,0.3596095122850908,0.2971640625773584,0.30960951228509076,6.192190245701815,0.4567130127197878,0.34112334485162327,0.4410644813717684,0.875,0.06666666666666667,alpha = 0.05
30,0.05,0.02,0.01,1,19,1.630124101883322,1.233709865066707,1.5801241018833219,31.602482037666437,2.169612290399916,1.5274903337161703,1.7174704718647975,0.9473684210526315,0.05263157894736842,alpha = 0.05
31,0.05,0.05,0.01,1,31,0.8221260463406745,0.6244035565865059,0.7721260463406746,15.442520926813492,0.9872791680964258,0.6254275138896102,0.8850968477861838,0.9354838709677419,0.06451612903225806,alpha = 0.05
32,0.05,0.09,0.01,1,24,0.5424400439609232,0.4047392722875298,0.49244004396092317,9.848800879218462,0.6292502219888371,0.40016341658846655,0.7302150241432959,1,0,alpha = 0.05
33,0.05,0.15,0.01,1,24,0.4572851136040627,0.4312537139396635,0.4072851136040627,8.145702272081254,0.5036327896809741,0.30262300796756775,0.5511500431970876,0.9583333333333334,0.041666666666666664,alpha = 0.05
34,0.05,0.2,0.01,1,27,0.44098686403793985,0.3653220214685328,0.39098686403793986,7.819737280758797,0.4993794518052498,0.31657700144535333,0.4732833269772727,0.8888888888888888,0.07692307692307693,alpha = 0.05
35,0.05,0.05,0.02,1,29,0.8817909864161058,0.7529462090239843,0.8317909864161057,16.635819728322115,1.1162449472296947,0.7575729473798363,1.0177167661427797,0.9655172413793104,0.034482758620689655,alpha = 0.05
36,0.05,0.09,0.02,1,28,0.654705650640035,0.4610476448914569,0.6047056506400351,12.094113012800701,0.7742093733771317,0.4923290994120452,0.7157980274360042,0.8928571428571429,0.10714285714285714,alpha = 0.05
37,0.05,0.15,0.02,1,32,0.33773504032293666,0.31596270572813767,0.2877350403229367,5.754700806458732,0.3605113276491716,0.2206780493841098,0.508167704523668,0.9375,0,alpha = 0.05
38,0.05,0.2,0.02,1,28,0.5072517081805753,0.3655928753660044,0.4572517081805753,9.145034163611506,0.6127614716907283,0.4154038598728875,0.5111820174403375,0.9285714285714286,0.07142857142857142,alpha = 0.05
