true_alpha,base_failure_rate,failure_sd,n_reps,bias,rel_bias,rmse,coverage_95,reject_null
0.02,0.02,0.005,25,1.7418514097940858,87.09257048970429,4.540295378078812,0.88,0.043478260869565216
0.02,0.02,0.01,31,1.4182373090514062,70.91186545257031,1.714185488257081,0.967741935483871,0
0.02,0.05,0.005,33,0.7955940297369606,39.77970148684803,0.9744480398652219,0.9696969696969697,0.030303030303030304
0.02,0.05,0.01,28,0.7034428708241705,35.17214354120852,0.9071318164022106,0.9285714285714286,0.037037037037037035
0.02,0.05,0.02,29,0.6583644315254561,32.918221576272806,0.9219333640922173,0.9655172413793104,0.034482758620689655
0.02,0.05,0.03,26,0.5596261980638797,27.98130990319398,0.7372127767965982,1,0
0.02,0.09,0.005,25,0.4147988278273792,20.739941391368962,0.5361927385912024,0.96,0
0.02,0.09,0.01,27,0.6509322759048541,32.546613795242706,0.7491784550498634,0.9629629629629629,0.037037037037037035
0.02,0.09,0.02,30,0.6059568716032662,30.29784358016331,0.7825138617144147,0.9666666666666667,0.06666666666666667
0.02,0.09,0.03,30,0.427887346197444,21.3943673098722,0.5469242495630844,0.9333333333333333,0.034482758620689655
0.02,0.09,0.05,22,0.42169182120241755,21.084591060120875,0.5188100533654862,1,0
0.02,0.09,0.08,27,0.5108312604894893,25.54156302447447,0.7268143739036217,0.9629629629629629,0.037037037037037035
0.02,0.15,0.005,25,0.3753917117702076,18.769585588510378,0.49413890019270096,1,0
0.02,0.15,0.01,23,0.37811679248824803,18.9058396244124,0.5530465756443971,0.8260869565217391,0.13636363636363635
0.02,0.15,0.02,27,0.5660453943544388,28.302269717721938,0.7126376375464024,0.8518518518518519,0.14814814814814814
0.02,0.15,0.03,23,0.4047822615558223,20.239113077791117,0.5108362294832179,0.9565217391304348,0.043478260869565216
0.02,0.15,0.05,26,0.2797387303318978,13.98693651659489,0.3886971193155294,1,0
0.02,0.15,0.08,28,0.4187694400764842,20.93847200382421,0.5165147571956842,0.9285714285714286,0.037037037037037035
0.02,0.2,0.005,28,0.4320421140751346,21.602105703756727,0.5509208424570615,0.8214285714285714,0.11538461538461539
0.02,0.2,0.01,29,0.3308812985490844,16.54406492745422,0.4204111460731015,0.896551724137931,0.07407407407407407
0.02,0.2,0.02,31,0.3066662012461688,15.333310062308438,0.3983460653745432,0.967741935483871,0.03225806451612903
0.02,0.2,0.03,23,0.2902584977060452,14.512924885302262,0.3568604645314061,0.9565217391304348,0
0.02,0.2,0.05,33,0.3835954597601857,19.179772988009287,0.5120183917852066,0.9696969696969697,0.06060606060606061
0.02,0.2,0.08,31,0.34993909122029987,17.49695456101499,0.48495077213020377,0.8387096774193549,0.10344827586206896
0.05,0.02,0.005,23,5.313996162076448,106.27992324152895,20.338907159682265,0.9130434782608695,0.045454545454545456
0.05,0.02,0.01,19,1.5801241018833219,31.602482037666437,2.169612290399916,0.9473684210526315,0.05263157894736842
0.05,0.05,0.005,23,0.7306990682122495,14.61398136424499,1.015242080426046,0.9565217391304348,0.043478260869565216
