hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.06287428,.8316696,.04511448,.0371666,4742,456,313,9.273725,14.295,.4176471,2.170049,.0397782,.0400675
2,-.12825885,.88884065,.07583505,.06775572,2166,137,116,12.73315,22.26735,.5595391,3.519553,.4435475,.0027701
5,-.06221921,.51281298,.08313262,.05017614,1874,185,136,9.042689,26.30748,.4575273,2.10977,.3799411,.0037353
6,-.02419795,.8308931,.06477935,.04323342,2378,207,173,9.976451,10.76089,.3684888,2.050149,.175662,.0159798
7,-.09025503,.86062545,.08226589,.07072996,1254,116,114,10.689,12.00886,.3103896,2.045857,.218834,.0263158
9,-.72319453,1.4276744,.16688313,.21554474,85,32,36,4.388235,10.40964,.3269231,1.75,.1150173,.0705882
11,-.11214856,.86187306,.04554346,.05508417,3503,355,262,15.62033,17.73965,.5250261,4.044451,.1467922,.009135
12,-.12090462,.79606477,.05198938,.03657922,8707,799,578,11.68876,16.47858,.480278,2.309936,.0700106,.0483519
14,-.06905578,.97076387,.06076981,.05364796,2051,271,181,11.61385,23.50855,.5130112,3.193848,.259984,.0175524
15,-.00713605,.7306381,.09821245,.06984674,2553,229,199,9.310615,22.84858,.3996637,1.846002,.2074926,.045045
16,.03873456,.71623262,.0834933,.05567027,1490,143,109,9.877852,16.87744,.4663821,2.007407,.2327219,.2644295
18,.02252703,.79414934,.08798866,.04607854,1053,72,67,8.679012,17.46941,.490099,2.369025,.3033751,.2431149
19,-.02276879,.74029519,.04705838,.03317837,7083,458,248,10.68897,22.15601,.5567613,2.387477,.0758641,.0799096
21,.0375573,.63725612,.12988252,.03303563,2028,183,128,6.842209,30.44759,.8969341,1.934988,.2256729,.178501
22,-.04560218,.47480574,.04882426,.08510779,876,89,98,10.90868,19.40528,.3843416,2.525229,.2566174,.2819635
23,-.0829174,1.0133213,.07550197,.05198124,2210,260,249,8.304072,13.16994,.3408316,1.376871,.1273209,.0909502
25,-.01043306,.77233483,.06870109,.05983421,2301,153,163,10.93003,15.5841,.4065392,1.913252,.0910968,.025641
31,-.23069368,.75644696,.14028829,.06590667,1400,101,114,8.977143,17.48563,.5224565,2.285305,.2332633,.0571429
33,-.01094465,.83492946,.07709503,.05836854,1610,163,125,8.481988,18.12352,.3245931,1.47198,.2966645,.1
43,-.08833789,.83670244,.11239481,.05121914,1762,150,115,8.993757,22.78722,.3690572,1.771331,.3968494,.0317821
56,-.18375837,.91579599,.05814331,.02012475,6664,550,396,7.740246,24.279,.6387889,1.767088,.0289277,.0306122
58,-.18679412,1.0091999,.09212405,.04764506,2268,164,179,10.98104,15.24679,.4203279,1.87218,.0561664,.1856261
62,-.04056127,.62994589,.21067743,.04890159,884,91,83,6.417421,22.85845,1.775072,3.294185,.1755569,.030543
65,-.00259455,.75831155,.09360743,.05144268,996,159,124,6.649599,15.13664,.3771252,1.19596,.0775149,.0411647
69,-.03939912,.7089763,.08650809,.08435951,937,117,98,6.560299,16.16864,.4322289,1.737968,.3992157,.0117396
73,-.08397338,.59038067,.0757632,.04418455,1861,101,134,11.75067,18.44468,.3913352,2.395575,.1016669,.071467
77,-.05309093,1.0752424,.060766,.04914696,5938,433,332,11.55911,15.3157,.4301819,2.257689,.0537538,.1746379
78,.0888653,.66845963,.1076296,.07662099,1097,85,87,8.86691,19.2044,.3586957,1.630137,.1605315,.0382862
80,-.08637341,.84088998,.06354055,.0324116,3195,334,256,8.663224,10.80612,.5319558,1.568689,.0535252,.1524257
