coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.06622561,.00179717,1,1,1,-16708.45,.30061143,.1517304,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001,.8726562,163,563
-.06621837,.00179698,1,5,1,-16708.42,.67360436,.331668,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001,.8726562,163,563
-.07300193,.00493784,2,1,1,-4633.394,.10637676,.2868132,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867,.8857279,44,121
-.07299432,.00493448,2,5,1,-4633.321,.31030757,.5838897,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867,.8857279,44,121
-.07926209,.00648309,5,1,1,-6122.622,.35626203,.2845489,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791,.8902119,84,225
-.07928757,.00648836,5,5,1,-6122.906,.65308847,.6367112,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791,.8902119,84,225
-.07050373,.0039671,6,1,1,-7112.18,0,0,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486,.8878747,62,237
-.07050143,.00396971,6,5,1,-7112.241,0,0,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486,.8878747,62,237
-.04801487,.00362237,7,1,1,-3221.206,1.59e-114,0,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899,.8977326,64,131
-.0480195,.00361679,7,5,1,-3221.21,,,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899,.8977326,64,131
-.19300678,.03676152,9,1,1,-217.5457,2.3782125,1.3986,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913,.8896323,36,41
-.19592594,.03732372,9,5,1,-217.4525,5.7931114,2.956568,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913,.8896323,36,41
-.05135931,.00447893,10,1,1,-1593.892,.88410702,.3936842,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806,.8875946,28,83
-.05131545,.00449005,10,5,1,-1594.551,1.477048,.8482915,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806,.8875946,28,83
-.05918436,.00668627,11,1,1,-10711.95,1.427e-20,6.69e-18,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286,.8984973,90,375
-.05919561,.00669362,11,5,1,-10711.95,,,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286,.8984973,90,375
-.06555899,.00975536,14,1,1,-8304.85,0,0,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175,.8988599,81,311
-.0655544,.00974841,14,5,1,-8305.058,,,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175,.8988599,81,311
-.03618112,.00249016,15,1,1,-6377.457,.73691402,.3198847,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816,.9064314,25,218
-.03624534,.00249739,15,5,1,-6377.366,1.5987298,.7483195,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816,.9064314,25,218
-.04728983,.00475767,16,1,1,-3895.538,.09797909,.3642571,2026,182,134,11.10266,21.48737,.4808415,2.655275,.2472892,.2729516,.8912866,53,138
-.047308,.00475056,16,5,1,-3895.577,0,0,2026,182,134,11.10266,21.48737,.4808415,2.655275,.2472892,.2729516,.8912866,53,138
-.05173826,.00898908,18,1,1,-2115.379,0,0,1445,92,84,9.829758,20.94653,.5182872,2.830555,.3223462,.2574394,.8934417,31,78
-.05174609,.00898883,18,5,1,-2115.447,,,1445,92,84,9.829758,20.94653,.5182872,2.830555,.3223462,.2574394,.8934417,31,78
-.06073983,.00210914,19,1,1,-19927.94,0,0,10718,582,289,12.6838,33.54679,.52513,2.798798,.0859526,.0841575,.890951,114,497
-.06074554,.00211347,19,5,1,-19928.13,0,0,10718,582,289,12.6838,33.54679,.52513,2.798798,.0859526,.0841575,.890951,114,497
-.06412703,.00607514,21,1,1,-2608.971,.46115295,.4579913,2972,243,165,8.068641,32.29871,.7176109,2.135455,.221752,.1813594,.8999118,51,174
-.06417962,.00609343,21,5,1,-2609.186,.79819646,1.17962,2972,243,165,8.068641,32.29871,.7176109,2.135455,.221752,.1813594,.8999118,51,174
-.03681575,.00735843,22,1,1,-1697.664,1.0816693,.4081968,1206,124,129,12.20813,26.4746,.3455233,2.75624,.2385626,.2852405,.8666135,31,87
-.03671598,.00737643,22,5,1,-1698.486,2.2778798,.9824526,1206,124,129,12.20813,26.4746,.3455233,2.75624,.2385626,.2852405,.8666135,31,87
-.11675665,.00516521,23,1,1,-10478.42,0,0,5671,501,344,10.08447,23.67465,.4422151,1.894159,.1335274,.0774114,.9264475,116,392
-.11676609,.00516549,23,5,1,-10478.58,,,5671,501,344,10.08447,23.67465,.4422151,1.894159,.1335274,.0774114,.9264475,116,392
-.04814463,.00333167,25,1,1,-4584.793,.61771917,.3576628,3242,209,204,12.58267,22.43335,.4206212,2.532488,.092399,.0271437,.9098133,58,153
-.04811288,.00334082,25,5,1,-4586.136,.75317269,.7638728,3242,209,204,12.58267,22.43335,.4206212,2.532488,.092399,.0271437,.9098133,58,153
-.0377561,.0046185,31,1,1,-2832.305,,,2110,127,124,10.53649,26.0823,.7497056,3.602094,.2369803,.0492891,.8943369,39,99
-.0377561,.0046185,31,5,1,-2832.305,,,2110,127,124,10.53649,26.0823,.7497056,3.602094,.2369803,.0492891,.8943369,39,99
-.07500022,.00485125,33,1,1,-5720.402,.2024215,.4276121,3105,282,176,10.0219,28.53652,.375,2.044251,.292503,.0866345,.9212126,73,219
-.07499715,.00486827,33,5,1,-5720.605,0,0,3105,282,176,10.0219,28.53652,.375,2.044251,.292503,.0866345,.9212126,73,219
-.06108613,.00536437,43,1,1,-4926.893,.3034157,.3743699,3063,210,147,10.43226,31.62152,.3690795,2.078181,.4532851,.029383,.9160314,33,172
-.06107155,.00536072,43,5,1,-4926.802,.72447949,.8771508,3063,210,147,10.43226,31.62152,.3690795,2.078181,.4532851,.029383,.9160314,33,172
-.13329992,.00365808,56,1,1,-23488.87,.01751673,.1638558,12863,955,535,9.212858,38.9764,.6467373,2.216669,.0293402,.0289979,.902185,169,786
-.13330042,.00365822,56,5,1,-23488.77,0,0,12863,955,535,9.212858,38.9764,.6467373,2.216669,.0293402,.0289979,.902185,169,786
-.06300029,.00396583,58,1,1,-5540.512,.27799661,.3097493,3302,239,217,11.98244,21.04807,.5113537,2.312842,.0567536,.1926105,.9039915,92,192
-.06292874,.00396653,58,5,1,-5540.903,0,0,3302,239,217,11.98244,21.04807,.5113537,2.312842,.0567536,.1926105,.9039915,92,192
-.02893946,.00365658,62,1,1,-1451.934,.16331058,.6379642,1112,139,116,7.988309,27.48148,.8152562,2.480543,.184841,.0305755,.9148552,53,93
-.02888319,.00370202,62,5,1,-1451.96,,,1112,139,116,7.988309,27.48148,.8152562,2.480543,.184841,.0305755,.9148552,53,93
-.05198388,.0051404,65,1,1,-3879.027,,,2092,282,172,7.819312,20.94511,.3400143,1.470504,.0765865,.040631,.9219502,74,225
-.05198388,.0051404,65,5,1,-3879.027,,,2092,282,172,7.819312,20.94511,.3400143,1.470504,.0765865,.040631,.9219502,74,225
-.0610204,.00965827,69,1,1,-2401.594,.35061084,.3577412,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269,.9089514,25,125
-.06108191,.00965584,69,5,1,-2401.887,.43888102,.7557688,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269,.9089514,25,125
-.05098988,.00502486,73,1,1,-3610.554,.76925773,.334033,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206,.9059179,23,72
-.05100478,.00501851,73,5,1,-3609.788,1.6836982,.7091602,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206,.9059179,23,72
-.06131537,.00233157,77,1,1,-18098.12,.10819558,.2102965,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588,.9127458,136,473
-.06131723,.00233162,77,5,1,-18098.28,.0667748,.5143787,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588,.9127458,136,473
-.07027647,.00601086,78,1,1,-2842.98,,,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916,.9129474,41,101
-.07027647,.00601086,78,5,1,-2842.98,,,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916,.9129474,41,101
-.05939511,.0037793,79,1,1,-3429.902,0,0,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183,.8896798,128,265
-.05939482,.00378088,79,5,1,-3429.913,.00047524,.1538176,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183,.8896798,128,265
-.07874195,.00376289,80,1,1,-12631.67,.52290567,.2542426,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842,.9168507,109,442
-.07874385,.00376233,80,5,1,-12632.28,1.0445741,.6185194,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842,.9168507,109,442
-.12836999,.00931292,81,1,1,-5966.693,.58209164,.3677347,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326,.9179432,90,258
-.12841035,.00932205,81,5,1,-5967.389,.97556922,.862924,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326,.9179432,90,258
-.07250574,.00758266,82,1,1,-5461.783,.31959394,.3939508,2917,281,179,10.2434,25.77935,.3590957,1.875774,.0775207,.1258142,.9135098,68,218
-.07255683,.00758795,82,5,1,-5461.453,.97952225,.9612958,2917,281,179,10.2434,25.77935,.3590957,1.875774,.0775207,.1258142,.9135098,68,218
-.05625157,.00495619,83,5,1,-2697.472,,,2011,160,132,9.802586,15.997,.3290627,1.851648,.1935968,.0417703,.9318573,23,114
-.06025036,.00652377,85,1,1,-3681.545,0,0,2060,229,133,8.798544,31.55474,.3277193,1.720195,.1750627,.2111651,.9227112,59,191
-.06027465,.00652352,85,5,1,-3681.596,,,2060,229,133,8.798544,31.55474,.3277193,1.720195,.1750627,.2111651,.9227112,59,191
-.06360452,.00371719,86,1,1,-4597.349,.17065796,.3346521,2999,186,108,9.794265,18.56678,.4433476,2.04396,.1145422,.174058,.923167,32,159
-.06362071,.00372324,86,5,1,-4597.167,.55187157,.670745,2999,186,108,9.794265,18.56678,.4433476,2.04396,.1145422,.174058,.923167,32,159
-.06103164,.01705969,87,1,1,-2893.442,.00137242,.1718341,1393,116,113,10.59009,24.6633,.2903907,1.768898,.2215616,.3194544,.9120719,56,96
-.06103397,.01705073,87,5,1,-2893.439,.0841901,.9783413,1393,116,113,10.59009,24.6633,.2903907,1.768898,.2215616,.3194544,.9120719,56,96
-.07800999,.00668932,89,1,1,-3870.854,.28525222,.3843404,2153,169,129,10.89178,17.00513,.4018146,2.035415,.1298438,.1114724,.9263889,57,126
-.07796264,.0066844,89,5,1,-3870.973,.41320713,.7310392,2153,169,129,10.89178,17.00513,.4018146,2.035415,.1298438,.1114724,.9263889,57,126
-.03651893,.00482359,91,1,1,-3048.616,1.0727734,.505667,1759,188,151,10.91416,21.74072,.3740522,2.819738,.0934711,.2211484,.9054496,78,152
-.03656115,.0048304,91,5,1,-3048.052,2.5780971,1.148014,1759,188,151,10.91416,21.74072,.3740522,2.819738,.0934711,.2211484,.9054496,78,152
-.0452223,.00377051,96,1,1,-6823.354,7.770e-44,0,3310,311,182,11.28852,22.98842,.4129663,2.028259,.1079693,.0129909,.9147258,82,278
-.04521918,.00376957,96,5,1,-6823.358,,,3310,311,182,11.28852,22.98842,.4129663,2.028259,.1079693,.0129909,.9147258,82,278
-.08126368,.01252893,101,1,1,-1807.062,,,1101,132,114,9.49228,15.12477,.398293,1.982633,.1566778,.1298819,.9208864,48,97
-.08126368,.01252893,101,5,1,-1807.062,,,1101,132,114,9.49228,15.12477,.398293,1.982633,.1566778,.1298819,.9208864,48,97
-.03769322,.00330467,104,1,1,-3260.467,.70710691,.4779764,2257,206,148,9.907843,45.1361,.5461493,2.617411,.492412,.0948161,.9146168,47,144
-.03769299,.00329192,104,5,1,-3261.347,1.0549122,1.016866,2257,206,148,9.907843,45.1361,.5461493,2.617411,.492412,.0948161,.9146168,47,144
-.06473263,.00389396,105,1,1,-2057.061,.00638251,.3063377,2161,213,172,7.453031,12.53997,.257329,1.199252,.1597764,.0522906,.9345601,27,129
-.0647326,.00389364,105,5,1,-2057.061,.01264334,1.13818,2161,213,172,7.453031,12.53997,.257329,1.199252,.1597764,.0522906,.9345601,27,129
-.05185809,.00648845,106,1,1,-3607.058,2.147e-48,0,1995,213,137,9.609022,35.5139,.4705046,2.661119,.3712386,.1598998,.9038889,53,171
-.05192249,.00649739,106,5,1,-3606.939,.39119542,.84894,1995,213,137,9.609022,35.5139,.4705046,2.661119,.3712386,.1598998,.9038889,53,171
-.03765041,.01034851,107,1,1,-2575.882,.12666987,.3268122,1302,96,104,13.70507,16.33385,.4135071,2.972179,.1383149,.109063,.8892753,32,68
-.03765863,.01036268,107,5,1,-2575.929,.09459823,.6591434,1302,96,104,13.70507,16.33385,.4135071,2.972179,.1383149,.109063,.8892753,32,68
-.09843448,.00570121,109,5,1,-5775.975,,,3146,332,241,10.15099,26.94592,.5026764,2.388765,.1119827,.0104895,.9089001,113,269
-.11422017,.00397579,110,1,1,-13829.11,,,6564,648,373,9.292353,28.99509,.4501379,2.265962,.1227582,.0457038,.893467,139,539
-.11422017,.00397579,110,5,1,-13829.11,,,6564,648,373,9.292353,28.99509,.4501379,2.265962,.1227582,.0457038,.893467,139,539
-.1226413,.0035983,111,1,1,-16643.75,.36395305,.167074,8250,743,392,9.322424,29.64171,.4999138,2.573238,.0793108,.0252121,.891109,167,640
-.12262773,.00359893,111,5,1,-16644.69,.63235129,.3583615,8250,743,392,9.322424,29.64171,.4999138,2.573238,.0793108,.0252121,.891109,167,640
-.05722214,.00326899,112,1,1,-16659.58,.04637748,.2029417,7012,461,270,12.17855,45.09106,.4661262,2.835463,.2742204,.0085568,.906777,158,414
-.05723096,.00326699,112,5,1,-16659.57,0,0,7012,461,270,12.17855,45.09106,.4661262,2.835463,.2742204,.0085568,.906777,158,414
-.06977841,.00298136,113,1,1,-27479.35,.30052167,.1570799,11938,1049,622,11.22399,29.6123,.4871994,2.547049,.0746205,.0214441,.9048451,233,888
-.06979047,.00298259,113,5,1,-27478.32,.80808461,.3367695,11938,1049,622,11.22399,29.6123,.4871994,2.547049,.0746205,.0214441,.9048451,233,888
-.0688891,.00989506,115,1,1,-5169.382,.27925299,.242982,3031,351,210,9.415375,47.2606,.5502622,3.319417,.4182936,.0280435,.8996788,47,248
-.06890534,.0098912,115,5,1,-5169.662,.39187116,.4888178,3031,351,210,9.415375,47.2606,.5502622,3.319417,.4182936,.0280435,.8996788,47,248
-.06889246,.00785799,116,5,1,-6150.002,,,3137,414,269,9.539369,38.31186,.5824338,2.884123,.3033585,.0290086,.8910608,69,282
-.08793463,.00302807,118,1,1,-27406.72,.05986767,.1411162,13756,1435,961,14.37656,39.77007,.5366399,3.528373,.0634974,.0327857,.8937355,93,769
-.08793324,.00302817,118,5,1,-27406.76,.09535717,.3035815,13756,1435,961,14.37656,39.77007,.5366399,3.528373,.0634974,.0327857,.8937355,93,769
-.09847583,.00210886,119,1,1,-33418.22,.22144136,.1119912,15739,1794,1131,14.13489,56.67555,.66546,4.437416,.0550641,.0534977,.9001724,99,995
-.09847954,.00210958,119,5,1,-33419.39,.26379066,.2413197,15739,1794,1131,14.13489,56.67555,.66546,4.437416,.0550641,.0534977,.9001724,99,995
-.07056472,.00578519,120,1,1,-4703.417,.31712435,.2824149,3253,331,186,9.925607,35.58636,.572165,2.901943,.3852161,.070704,.8932745,70,254
-.07049727,.00578188,120,5,1,-4703.938,.27764318,.6614792,3253,331,186,9.925607,35.58636,.572165,2.901943,.3852161,.070704,.8932745,70,254
-.0984877,.00531008,122,1,1,-6152.617,0,0,2786,338,270,10.09368,27.71701,.6546142,3.06765,.0883028,.0412778,.8776525,70,243
-.09849758,.00530554,122,5,1,-6152.677,,,2786,338,270,10.09368,27.71701,.6546142,3.06765,.0883028,.0412778,.8776525,70,243
-.07288889,.00302666,123,1,1,-20908.99,.01123212,.1236582,10751,722,423,12.20724,61.82333,.6698607,3.476906,.1796653,.0747837,.8852943,85,507
-.07288996,.00302641,123,5,1,-20908.99,.02696727,.2740455,10751,722,423,12.20724,61.82333,.6698607,3.476906,.1796653,.0747837,.8852943,85,507
-.06468449,.00795535,124,1,1,-3136.772,.34634154,.3299483,1727,221,176,8.898668,39.3774,.5628931,2.941176,.4365963,.5732484,.8759016,62,158
-.06469767,.00795597,124,5,1,-3137.176,.31877769,.6756041,1727,221,176,8.898668,39.3774,.5628931,2.941176,.4365963,.5732484,.8759016,62,158
