coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
3.2531876,.14313146,1,1,1,-16708.45,20,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.8236123,.10570463,1,1,1,-16708.45,10,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6160038,.07086846,1,1,1,-16708.45,2,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.9790962,.12248703,1,1,1,-16708.45,15,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.4439545,.09132218,1,1,1,-16708.45,7,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.9176578,.07848516,1,1,1,-16708.45,3,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.1055717,.08498998,1,1,1,-16708.45,4,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3102825,.0926851,1,1,1,-16708.45,5,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2923292,.05839356,1,1,1,-16708.45,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
3.3574981,.1679715,1,5,1,-16708.42,20,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.9229587,.13359698,1,5,1,-16708.42,10,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.4038392,.11984462,1,5,1,-16708.42,5,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.5404276,.12034738,1,5,1,-16708.42,7,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
3.0811199,.14532165,1,5,1,-16708.42,15,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6936434,.09518256,1,5,1,-16708.42,2,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.1958853,.11134326,1,5,1,-16708.42,4,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0037075,.10428418,1,5,1,-16708.42,3,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3560425,.08110488,1,5,1,-16708.42,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
