hrr,coef_failures,coef_failures_se,coef_patients,coef_patients_se,coef_failures_patients,coef_failures_patients_se,coef_distance,coef_distance_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,1.0880659,.27553593,4.9656804,.19851615,-4.8654003,1.4262655,-.05554857,.00238693,2878,205,213,8.376651,12.28571,.5833333,1.695038,.1146284,.0031272
2,1.1424196,.28790674,7.4455428,.3896754,-7.5278586,2.2832692,-.00649999,.00125887,2028,104,100,12.72091,15.00755,.3434675,1.672131,.4136458,.0004931
5,.1492355,.407449,5.5128242,.27245918,-2.6561846,2.5211189,-.04858768,.0054167,1226,91,99,8.809135,14.24788,.4893617,1.256034,.3619125,.002447
6,1.2913142,.41175428,5.5076501,.36540161,-6.0940245,2.2104786,-.07891913,.00803088,705,61,100,10.60284,7.191964,.3740648,1.337368,.2674292,.0028369
7,5.3904004,1.6055656,7.1143195,1.228726,-22.774766,7.4962105,-.01311234,.00458599,274,48,78,8.580292,9.58427,.343949,1.332061,.1031222,.0182482
10,-3.3154459,2.390055,3.2955288,.7748343,10.122434,11.540412,-.04218225,.00322608,263,107,105,4.771863,11.13953,.6353591,1.368627,.0480418,.095057
11,1.8650732,.1602973,9.3362915,.33213908,-10.408154,1.8670839,-.06733115,.0079819,4502,329,238,15.80609,15.7778,.5127102,2.440101,.1219968,.0135495
12,2.422598,.18579566,8.7575257,.30129013,-12.031051,1.8831404,-.04066238,.00265417,8182,588,432,12.21621,12.96326,.6424478,1.55613,.0998876,.0541432
14,1.5589249,.18886211,7.053257,.2930438,-7.559939,1.4983892,-.10274303,.00650871,2759,251,177,12.55346,18.64388,.4985755,2.403574,.5154836,.0213846
15,1.6192638,.20212402,7.9369073,.29976037,-6.8942181,1.5566137,-.03145337,.00350309,6490,254,179,11.38166,29.81599,.4538196,1.821271,.2853162,.025886
16,1.4325718,1.6280889,5.4097887,1.1923567,-8.2068932,8.3097328,-.00958391,.00470009,180,45,59,8.505555,12.98864,.4117647,1.02924,.0925926,.0555556
18,1.2376214,.78059139,4.4947602,.32634303,-2.9451055,2.6842526,-.01342866,.00388436,601,40,55,8.768719,11.54576,.3879093,1.209424,.1743932,.0415973
19,1.6119273,.19447376,5.7491843,.28439484,-6.3335693,1.3207053,-.04466325,.00204122,7711,316,215,10.32058,16.58418,.7908709,1.960301,.0756026,.0627675
21,1.7239988,.69691131,4.7328479,.30688716,-3.6482157,2.6747958,-.02686083,.00420875,967,83,87,6.607032,17.18617,.9297994,1.370614,.3528381,.0465357
22,-1.5718684,.98935085,2.5114399,.65021959,14.331021,6.3155698,-.00780349,.00196407,166,31,43,8.240964,10.59756,.3655914,1.031646,.2450283,.4156626
23,2.8311833,1.158638,6.9775375,.95183658,-7.8183646,3.3538442,-.02404393,.0179558,356,75,116,6.598315,5.954023,.5764192,1.305882,.0854848,.0308989
25,1.2154006,.27009459,6.3594299,.30231461,-5.9151286,1.4675743,-.02355522,.00209559,2746,139,133,10.77167,20.28793,.4583333,1.535259,.1262784,.0313183
31,.74917302,.4621476,4.8070299,.24051301,-4.27749,1.862301,-.05043742,.00471333,1647,78,94,10.41348,10.58215,.3529412,1.18398,.2832288,.0273224
33,1.2564076,.32300519,6.7107144,.25609272,-5.339556,2.3708829,-.10973514,.00868562,2844,160,117,9.630098,16.55658,.3745079,1.261957,.6738347,.0116034
43,1.3084921,.22719812,6.2997112,.20512232,-4.7932819,1.2562081,-.02686662,.00440818,3799,144,91,11.05422,37.47653,.5551095,1.59129,.5352705,.0423796
56,2.3133053,.58081855,6.013293,.32764851,-2.4774415,2.6234867,-.13365882,.00944691,2170,157,229,7.139171,8.993894,.9373417,1.405534,.0518767,.0359447
58,1.4465851,.46850638,4.7924393,.36054649,-2.5125541,2.6780509,-.02465624,.00386221,1307,107,135,8.684774,10.98755,.4823399,1.087094,.078495,.0489671
62,1.0078875,1.3223582,4.0239583,.26647351,-3.0687191,3.9840594,-.03750304,.00541522,1001,69,69,5.482518,13.48227,1.112161,1.876416,.3493919,.004995
65,2.179582,.36927898,6.3583955,.43003885,-8.3522251,2.7014502,-.08154655,.01195286,1160,134,101,6.725862,9.288479,.3106436,.9346464,.1091394,.0008621
