hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.17675168,.76174257,.07872056,.02846381,2878,205,213,8.376651,12.28571,.5833333,1.695038,.1146284,.0031272
2,-.21223512,.97097499,.08889539,.05781823,2028,104,100,12.72091,15.00755,.3434675,1.672131,.4136458,.0004931
5,-.16400811,.83817861,.13633482,.03096663,1226,91,99,8.809135,14.24788,.4893617,1.256034,.3619125,.002447
6,-.16707934,.75731534,.09368919,.08156686,705,61,100,10.60284,7.191964,.3740648,1.337368,.2674292,.0028369
7,-.39434348,.82727926,.18521918,.12095979,274,48,78,8.580292,9.58427,.343949,1.332061,.1031222,.0182482
10,.03636708,.88001431,.44698517,.25669336,263,107,105,4.771863,11.13953,.6353591,1.368627,.0480418,.095057
11,-.17419754,.9471118,.06334818,.04698625,4502,329,238,15.80609,15.7778,.5127102,2.440101,.1219968,.0135495
12,-.18865056,.83808159,.05866611,.04243847,8182,588,432,12.21621,12.96326,.6424478,1.55613,.0998876,.0541432
14,-.09117733,.84405278,.0537373,.04008733,2759,251,177,12.55346,18.64388,.4985755,2.403574,.5154836,.0213846
15,-.12633506,1.0760356,.07054766,.03991394,6490,254,179,11.38166,29.81599,.4538196,1.821271,.2853162,.025886
16,-.14139567,.75852592,.13863525,.22712398,180,45,59,8.505555,12.98864,.4117647,1.02924,.0925926,.0555556
18,-.00453088,.81052785,.13631225,.06187312,601,40,55,8.768719,11.54576,.3879093,1.209424,.1743932,.0415973
19,-.20265321,.78646239,.07476024,.036347,7711,316,215,10.32058,16.58418,.7908709,1.960301,.0756026,.0627675
21,-.05210524,.75509512,.17403826,.02112936,967,83,87,6.607032,17.18617,.9297994,1.370614,.3528381,.0465357
22,.39291761,.60913586,.14066718,.18622143,166,31,43,8.240964,10.59756,.3655914,1.031646,.2450283,.4156626
23,-.07313021,.99237048,.13949179,.07225776,356,75,116,6.598315,5.954023,.5764192,1.305882,.0854848,.0308989
25,-.14809167,.87039906,.06681415,.04985054,2746,139,133,10.77167,20.28793,.4583333,1.535259,.1262784,.0313183
31,-.1782036,.79939821,.10015767,.04242103,1647,78,94,10.41348,10.58215,.3529412,1.18398,.2832288,.0273224
33,-.11869219,1.0787581,.10966618,.04948927,2844,160,117,9.630098,16.55658,.3745079,1.261957,.6738347,.0116034
43,-.15476515,1.0980514,.08058479,.03111411,3799,144,91,11.05422,37.47653,.5551095,1.59129,.5352705,.0423796
56,.13742763,.77836958,.13184564,.01198633,2170,157,229,7.139171,8.993894,.9373417,1.405534,.0518767,.0359447
58,.02587704,.79293601,.19410091,.04086892,1307,107,135,8.684774,10.98755,.4823399,1.087094,.078495,.0489671
62,-.14254831,.61714035,.2708338,.02730156,1001,69,69,5.482518,13.48227,1.112161,1.876416,.3493919,.004995
65,-.22370047,.94158092,.15961602,.04928673,1160,134,101,6.725862,9.288479,.3106436,.9346464,.1091394,.0008621
73,-.00115068,.7083411,.10491695,.05222606,1240,57,91,10.3629,7.241975,.3055556,1.142141,.1162162,.0637097
77,-.14203482,1.1004808,.06472367,.03565968,7484,336,281,11.63188,12.01883,.4087383,1.345018,.0551042,.1448423
