hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.12187951,.58610808,.07730378,.04596748,2878,205,213,8.376651,12.28571,.5833333,1.695038,.1146284,.0031272
2,-.13990445,.7882719,.06814315,.05627769,2028,104,100,12.72091,15.00755,.3434675,1.672131,.4136458,.0004931
5,-.06480585,.58793392,.14118101,.05427783,1226,91,99,8.809135,14.24788,.4893617,1.256034,.3619125,.002447
6,-.02088167,.52481105,.09966269,.09524312,705,61,100,10.60284,7.191964,.3740648,1.337368,.2674292,.0028369
7,-.34087656,.78710535,.18652136,.18452701,274,48,78,8.580292,9.58427,.343949,1.332061,.1031222,.0182482
11,-.1199777,.76009026,.06069854,.04759164,4502,329,238,15.80609,15.7778,.5127102,2.440101,.1219968,.0135495
12,-.10374629,.77306667,.05633222,.03529184,8182,588,432,12.21621,12.96326,.6424478,1.55613,.0998876,.0541432
14,.01855224,.66513253,.05663965,.05675437,2759,251,177,12.55346,18.64388,.4985755,2.403574,.5154836,.0213846
15,-.06452475,.58165591,.06604357,.03641393,6490,254,179,11.38166,29.81599,.4538196,1.821271,.2853162,.025886
18,.18399183,.60655614,.16657861,.08875541,601,40,55,8.768719,11.54576,.3879093,1.209424,.1743932,.0415973
19,-.18101959,.77625583,.07010109,.03483446,7711,316,215,10.32058,16.58418,.7908709,1.960301,.0756026,.0627675
21,.36340093,.57297586,.15701598,.07409226,967,83,87,6.607032,17.18617,.9297994,1.370614,.3528381,.0465357
23,-.02058721,1.171064,.10723005,.07839527,356,75,116,6.598315,5.954023,.5764192,1.305882,.0854848,.0308989
25,.01093986,.69477488,.0707485,.04617845,2746,139,133,10.77167,20.28793,.4583333,1.535259,.1262784,.0313183
31,-.26641908,.48702533,.0884856,.05411133,1647,78,94,10.41348,10.58215,.3529412,1.18398,.2832288,.0273224
33,.06207235,.63146757,.07860066,.05320432,2844,160,117,9.630098,16.55658,.3745079,1.261957,.6738347,.0116034
43,-.13092974,.83044297,.09315903,.04850812,3799,144,91,11.05422,37.47653,.5551095,1.59129,.5352705,.0423796
56,.09997624,.80601996,.13141559,.03032699,2170,157,229,7.139171,8.993894,.9373417,1.405534,.0518767,.0359447
58,.01545594,.8528923,.16509361,.05699224,1307,107,135,8.684774,10.98755,.4823399,1.087094,.078495,.0489671
62,.00909761,.57287009,.22095406,.06335587,1001,69,69,5.482518,13.48227,1.112161,1.876416,.3493919,.004995
65,-.13935977,.84338857,.16262953,.04867983,1160,134,101,6.725862,9.288479,.3106436,.9346464,.1091394,.0008621
73,-.09792231,.677774,.13259449,.06783217,1240,57,91,10.3629,7.241975,.3055556,1.142141,.1162162,.0637097
77,-.06028255,.94401777,.0598114,.03587287,7484,336,281,11.63188,12.01883,.4087383,1.345018,.0551042,.1448423
78,.2817025,.32358374,.1321277,.07559733,696,44,55,8.301724,6.562044,.2623967,.6691505,.1805267,.0028736
79,-.0764381,.8530453,.16825666,.09015713,433,71,99,6.027714,6.312796,.5430464,1.101449,.1046728,.2586605
80,.20468064,.81481449,.16456303,.0504519,1181,121,174,7.101609,5.441433,.4007634,.9617097,.0596066,.0745131
81,-.08924804,.78256849,.14021465,.05276578,1656,153,150,9.792271,8.401599,.4217557,1.108057,.1448415,.0217391
82,-.26368081,.90110484,.15202173,.06225415,691,71,94,8.34877,6.15156,.3715596,1.010622,.0603186,.0188133
83,.23092909,.41687336,.28492384,.09722134,307,42,44,6.257329,7.229508,.2995169,.7993197,.1667604,.0065147
85,-.16016995,.98018707,.19005709,.13790161,474,52,70,9.592827,5.956803,.2996516,1.180617,.1082359,.0105485
86,-.08379712,.38126837,.12165922,.09395567,702,38,47,6.77208,5.178261,.2286822,.6874074,.1935861,.008547
