hrr,coef_failures,coef_failures_se,coef_patients,coef_patients_se,coef_failures_patients,coef_failures_patients_se,coef_distance,coef_distance_se,coef_same_practice,coef_same_practice_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,1.0862442,.27536953,4.9608791,.19815716,-4.825166,1.4247114,-.05551132,.00238563,.68785629,.40449319,1761,159,156,7.326519,14.43179,.5863141,1.981588,.1123984,.0034072
2,1.1424196,.28790674,7.4455428,.3896754,-7.5278586,2.2832692,-.00649999,.00125887,0,0,1326,96,77,9.914782,18.62548,.3635359,2.063927,.418767,.0007541
5,.1492355,.407449,5.5128242,.27245918,-2.6561846,2.5211189,-.04858768,.0054167,0,0,672,68,70,5.958333,18.453,.6008146,1.517665,.3969406,.0029762
6,1.2913142,.41175428,5.5076501,.36540161,-6.0940245,2.2104786,-.07891913,.00803088,0,0,443,51,74,7.659142,8.841981,.4148936,1.71028,.2487707,0
7,6.6347781,1.6984797,7.2469856,1.2795393,-29.708603,8.165003,-.01321038,.00473437,2.9486846,1.1325045,151,36,57,5.529801,12.20805,.4086021,1.72,.0935485,.0794702
10,-3.5816185,2.6128559,3.3254453,.76848703,10.163642,13.077063,-.04420729,.00230659,-1.2819837,.24339743,160,66,68,4.275,12.12579,.7043478,1.679245,.0601562,.09375
11,1.8434453,.15957901,9.2408347,.33181717,-10.14226,1.8493933,-.06977397,.00802597,1.938607,.42052064,2565,251,165,12.15283,18.47271,.5659882,3.107367,.1725648,.011306
12,2.383743,.18433539,8.5720699,.30750383,-12.278081,1.6690088,-.03952939,.00263245,1.5061329,.19180933,4739,491,312,9.309981,14.71939,.5723594,1.741314,.1658708,.0506436
14,1.5347458,.19010976,6.9491877,.28748091,-7.3601856,1.4919116,-.10530982,.00645819,3.3754038,.46631671,1635,185,116,9.043425,22.86757,.5343643,2.867116,.6104922,.0085627
15,1.6194635,.20213449,7.9359216,.2996877,-6.8920814,1.5560938,-.03146517,.00350682,-.10655101,.39506165,3857,217,135,9.239565,35.48761,.4678462,2.161458,.287214,.0350013
16,1.2282975,1.5337885,4.7165908,1.0071361,-6.5730344,7.6692119,-.01103156,.00497956,17.466493,.86830965,77,28,37,5.194805,18,.5116279,1.311688,.1118232,.0649351
18,1.1842629,.77917098,4.4980979,.3285783,-2.9876602,2.6952356,-.01334546,.00397844,.48792581,.27947854,345,33,42,5.907247,13.31871,.3855422,1.235465,.254812,.057971
19,1.5796953,.19007172,5.6824638,.27287749,-6.2311502,1.3101109,-.04417166,.00205242,.79775037,.28777027,4130,275,150,7.495884,18.98069,.8613307,2.406821,.0710775,.0661017
21,1.3705945,.7477833,4.7319683,.31227407,-3.2499912,3.0599325,-.02691678,.00416297,1.5380847,.51154083,522,67,58,4.749042,21.79572,.8512195,1.48538,.3827014,.0689655
22,-1.6308372,.99232146,2.4161307,.57361106,14.079233,6.3971672,.00003861,.00268294,1.2507184,.32389247,122,22,31,7.614754,11.92562,.2857143,1.091667,.3902177,.5491803
23,2.7938237,1.1537105,6.8403403,.9338688,-7.5419653,3.2765066,-.02582793,.01855811,3.2257351,1.0915282,216,45,71,4.666667,7.167442,.65625,1.613953,.1012517,.0277778
