hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,mfx_val6,mfx_val7,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.17411926,.76251207,.11663641,.07871539,.02846811,.06864677,1761,159,156,7.326519,14.43179,.5863141,1.981588,.1123984,.0034072
2,-.21223512,.97097499,0,.08889539,.05781823,0,1326,96,77,9.914782,18.62548,.3635359,2.063927,.418767,.0007541
5,-.16400811,.83817861,0,.13633482,.03096663,0,672,68,70,5.958333,18.453,.6008146,1.517665,.3969406,.0029762
6,-.16707934,.75731534,0,.09368919,.08156686,0,443,51,74,7.659142,8.841981,.4148936,1.71028,.2487707,0
7,-.53948476,.73906116,.47626019,.17926941,.11800017,.16693314,151,36,57,5.529801,12.20805,.4086021,1.72,.0935485,.0794702
10,-.00714647,.8550864,-.24860522,.48925038,.28886444,.02847133,160,66,68,4.275,12.12579,.7043478,1.679245,.0601562,.09375
11,-.16675009,.93887265,.22092535,.06276448,.04689435,.04835072,2565,251,165,12.15283,18.47271,.5659882,3.107367,.1725648,.011306
12,-.20373836,.81685968,.16229452,.05199753,.04285465,.0203892,4739,491,312,9.309981,14.71939,.5723594,1.741314,.1658708,.0506436
14,-.0861924,.83654945,.45223579,.05366534,.03983761,.0627224,1635,185,116,9.043425,22.86757,.5343643,2.867116,.6104922,.0085627
15,-.12619536,1.075946,-.01563092,.0705159,.03991502,.05795634,3857,217,135,9.239565,35.48761,.4678462,2.161458,.287214,.0350013
16,-.10210294,.63863168,2.8662477,.13252774,.19616434,.14899221,77,28,37,5.194805,18,.5116279,1.311688,.1118232,.0649351
18,-.01788571,.80876202,.0924111,.13578846,.06122862,.05291464,345,33,42,5.907247,13.31871,.3855422,1.235465,.254812,.057971
19,-.20137711,.77923228,.12777899,.07448608,.03447824,.04593487,4130,275,150,7.495884,18.98069,.8613307,2.406821,.0710775,.0661017
21,-.07239326,.75419555,.25606529,.19473652,.02266217,.0843732,522,67,58,4.749042,21.79572,.8512195,1.48538,.3827014,.0689655
22,.37690562,.59580755,.19905252,.1438706,.16389014,.0504317,122,22,31,7.614754,11.92562,.2857143,1.091667,.3902177,.5491803
23,-.05958199,.9826942,.52403792,.13735806,.07185583,.18058147,216,45,71,4.666667,7.167442,.65625,1.613953,.1012517,.0277778
25,-.15119619,.87458628,-.08835578,.06705838,.0503463,.04922286,1608,117,96,8.176617,23.63847,.4662218,1.718029,.1483774,.0080846
31,-.17837353,.79937297,.00061204,.0993322,.04223914,.0355743,1167,64,72,7.683805,12.981,.3702081,1.317829,.3608348,.0359897
33,-.11187111,1.0775254,-.0741827,.10716347,.0488878,.04497184,1781,131,81,7.71589,21.01638,.3938307,1.474958,.6948531,.0112296
43,-.15402459,1.100182,.20649548,.08033554,.03038378,.08312643,2106,124,67,8.632004,43.83842,.5673018,1.84981,.6329702,.0493827
56,.16746076,.77268567,.22519375,.13477597,.01217177,.07935928,1264,117,145,5.0625,11.22843,1.249255,1.844444,.0671968,.0403481
58,.02941459,.79236006,.05697558,.19339775,.04030728,.05182054,624,78,94,6.503205,13.57699,.4220183,1.229904,.089045,.0817308
62,-.12769171,.61986474,.16528161,.27443576,.02757618,.12058309,533,46,45,3.834897,19.13878,1.455115,2.51711,.3370106,.0075047
65,-.22378551,.94149885,-2.081823,.15964516,.04929526,.07782401,676,112,79,4.920118,11.95052,.3448276,1.043219,.118085,0
73,-.01947187,.69484768,.06805588,.10703615,.06006496,.04582801,780,49,66,8.066667,9.19201,.354452,1.460052,.1715582,.098718
77,-.138727,1.069088,.10373986,.06455992,.03821388,.01816376,4081,297,207,8.196766,15.63623,.4649638,1.60177,.0676041,.1443274
78,-.04034707,.58140617,-1.9591047,.14112788,.05062456,.17871063,482,35,42,7.082988,8.139874,.2913165,.8547718,.2720511,.0020747
79,-.09102733,.81037216,.40231246,.2575505,.06146716,.12156418,270,45,66,4.488889,7.947566,.641791,1.294776,.1489438,.3111111
80,.11821361,.84755749,.48435331,.11825744,.04636844,.08573266,617,95,120,4.998379,6.645695,.4369159,1.15082,.098587,.1329011
81,-.23432597,.74462646,-.36791856,.13454974,.06421065,.22071305,896,129,117,7.185268,10.26832,.3288591,1.206278,.1343645,.0189732
82,-.28703973,.95988158,.30226893,.15688948,.04746343,.16693822,361,54,61,5.792244,8.898876,.3775934,1.22905,.1154917,.0083102
83,.60211255,.28860567,-.18356506,.39017385,.07175035,.07488872,150,27,32,5.226666,5.86,.2473118,.9066667,.1767111,.0133333
85,-.11080341,1.0192898,-1.6632953,.21020711,.10526034,.19503042,212,38,41,5.542453,7.518868,.2941177,1.325472,.137104,.0141509
86,-.08350402,.66378978,-.13150391,.15008298,.04398971,.09535301,504,34,36,5.720238,5.916,.2531646,.8207172,.2698098,.0099206
87,-.02470231,.78157134,.19867325,.22789146,.10038728,.02964697,278,30,37,6.334532,8.586957,.315534,1.183453,.3327985,.028777
89,-.31866032,.9722982,.16082483,.26895036,.04376095,.07714667,560,69,64,6.092857,10.18264,.4976076,1.533333,.102787,.0892857
91,-.07172748,.66965289,.35854766,.14239138,.09189786,.03514374,674,75,68,7.22997,9.029896,.2638298,1.422388,.1830121,.3916914
96,-.09772152,.81600269,2.3003243,.18303452,.03176893,.1759225,717,70,59,6.592748,10.67139,.3568628,1.127989,.2567201,.0027894
101,-.71474922,.680257,.45289448,.22512733,.07858401,.08616342,275,44,58,5.905455,8.759259,.2951807,1.536765,.1842909,.0836364
102,-.26710271,.69365704,.18028847,.06680673,.05269747,.03854514,1386,187,140,9.103896,11.37034,.4336075,2.007289,.1599358,.0577201
103,-.07650303,.82074736,.31273857,.04460629,.03399131,.05087916,4386,356,268,10.61742,14.59945,.5117438,2.160641,.1211841,.0987232
104,.31444245,.39831089,.48726404,.1428852,.08899455,.08295626,224,46,58,5.629464,8.56422,.7727273,1.846154,.1862644,.3214286
105,-.20930545,.85059224,.31871271,.10650425,.05285139,.17323266,1368,107,82,6.557748,10.64662,.3149905,1.212435,.2277004,.0416667
