hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,mfx_val6,mfx_val7,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.11878527,.58463105,.13671095,.07722521,.04622573,.07430074,1761,159,156,7.326519,14.43179,.5863141,1.981588,.1123984,.0034072
2,-.13990445,.7882719,0,.06814315,.05627769,0,1326,96,77,9.914782,18.62548,.3635359,2.063927,.418767,.0007541
5,-.06480585,.58793392,0,.14118101,.05427783,0,672,68,70,5.958333,18.453,.6008146,1.517665,.3969406,.0029762
6,-.02088167,.52481105,0,.09966269,.09524312,0,443,51,74,7.659142,8.841981,.4148936,1.71028,.2487707,0
7,-.49864625,.69433071,.55832404,.18417079,.1824158,.19928149,151,36,57,5.529801,12.20805,.4086021,1.72,.0935485,.0794702
11,-.1121426,.74743795,.32422189,.06009574,.04736467,.05439751,2565,251,165,12.15283,18.47271,.5659882,3.107367,.1725648,.011306
12,-.11777601,.72783933,.30115978,.04999191,.03475536,.03367129,4739,491,312,9.309981,14.71939,.5723594,1.741314,.1658708,.0506436
14,.02402033,.64747072,.61166098,.05636417,.05643906,.08610514,1635,185,116,9.043425,22.86757,.5343643,2.867116,.6104922,.0085627
15,-.06484757,.58109452,.1090583,.06605356,.03638748,.07571654,3857,217,135,9.239565,35.48761,.4678462,2.161458,.287214,.0350013
18,.17638514,.60623237,.14871378,.16783583,.08744055,.06341923,345,33,42,5.907247,13.31871,.3855422,1.235465,.254812,.057971
19,-.1781325,.75385266,.16287135,.06926887,.03453819,.0454785,4130,275,150,7.495884,18.98069,.8613307,2.406821,.0710775,.0661017
21,.36907006,.52914694,.4372036,.17201752,.07473112,.10410509,522,67,58,4.749042,21.79572,.8512195,1.48538,.3827014,.0689655
23,-.01032458,1.1486771,4.531702,.10296611,.0807521,.29306899,216,45,71,4.666667,7.167442,.65625,1.613953,.1012517,.0277778
25,.01393935,.68783894,.41327743,.07147671,.04661067,.14805607,1608,117,96,8.176617,23.63847,.4662218,1.718029,.1483774,.0080846
31,-.29658076,.46755922,.24319895,.08256913,.05375995,.06246393,1167,64,72,7.683805,12.981,.3702081,1.317829,.3608348,.0359897
33,.04647214,.62645275,.26467941,.08021569,.05247988,.05568834,1781,131,81,7.71589,21.01638,.3938307,1.474958,.6948531,.0112296
43,-.13365107,.83253025,.21197128,.09316043,.0474494,.09997604,2106,124,67,8.632004,43.83842,.5673018,1.84981,.6329702,.0493827
56,.10432953,.79281012,.26615863,.1353287,.02970402,.07900188,1264,117,145,5.0625,11.22843,1.249255,1.844444,.0671968,.0403481
58,.10609987,.86146957,.22077699,.16768487,.05724174,.08097616,624,78,94,6.503205,13.57699,.4220183,1.229904,.089045,.0817308
62,.03271722,.57550767,.33987473,.22486066,.06415975,.13250043,533,46,45,3.834897,19.13878,1.455115,2.51711,.3370106,.0075047
65,-.1401438,.84332468,-2.1636569,.16258901,.04869581,.10257472,676,112,79,4.920118,11.95052,.3448276,1.043219,.118085,0
73,-.12052372,.65925738,.06947681,.13976507,.08080903,.04845264,780,49,66,8.066667,9.19201,.354452,1.460052,.1715582,.098718
77,-.07792607,.87619619,.25419148,.05999555,.03612045,.02007561,4081,297,207,8.196766,15.63623,.4649638,1.60177,.0676041,.1443274
78,.28150783,.32354593,-2.578371,.13213495,.07561076,.27739277,482,35,42,7.082988,8.139874,.2913165,.8547718,.2720511,.0020747
79,.0843215,.69799693,.69869962,.20631167,.09571513,.14645401,270,45,66,4.488889,7.947566,.641791,1.294776,.1489438,.3111111
80,.19834825,.78434885,.45348761,.15510171,.05286229,.10265421,617,95,120,4.998379,6.645695,.4369159,1.15082,.098587,.1329011
