hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.39398606,.2096427,.0006403,.878905,7066,.1359145,1.139107,5.386382,.0670815,.0361077,125.5919,-125.5919,.4123412,.3817873,69,5
2,.82554734,.1535804,-.0025537,.8841816,1914,.1423929,.7984113,3.077406,.0299713,-.3185236,-82.50657,82.50657,-.3636799,-.8199968,16,5
5,.21516644,.2106669,.0007816,.8967392,2905,.2699685,2.037161,6.367646,.0428577,.0165976,-39.92962,39.92964,3.420853,2.552178,34,5
6,7.835e-20,.1597458,-.0006091,.8917866,3409,.0184408,4.2129,16.11274,.0532759,-.1552443,-1.052869,1.052866,-2.096292,-2.2791,23,5
7,2.187e-16,.1316889,.0001998,.8960265,1505,.2099609,1.287285,4.8446,.0430613,.0141272,24.6958,-24.6958,.4247464,-.029483,25,5
9,.52025657,.1679301,.0013748,.9078858,127,-.0739426,2.928112,11.12751,.0430338,.2768803,2.253466,-2.253466,2.531684,2.815557,17,5
11,.22629888,.2841972,-.0038669,.9052049,3533,.3166442,.7582111,3.367844,.0426222,-.0810442,-353.06,353.06,-.5539499,-.7210881,31,5
12,.11527037,.345257,-.0039557,.9131711,9836,-.098464,3.232646,16.72005,.0414622,-.0486877,-944.004,944.004,-1.336769,-1.065382,65,5
14,.65046713,.2324608,-.00321,.9021674,3008,.1531417,2.586381,14.98235,.0457579,-.0753609,-193.3126,193.3126,-1.025456,-2.470806,29,5
15,1.5265259,.2006741,-.0007947,.9124177,2900,.0648453,.979773,3.293829,.011122,-.1600933,-104.8713,104.8713,-1.135451,-1.546652,12,5
16,.45894833,.1542529,.0016598,.9012715,1729,.0134007,4.510893,17.52828,.0352489,.1066217,95.81741,-95.81741,-1.626865,-1.60788,25,5
18,3.547e-29,.1088939,.0020072,.8965937,1225,.3071409,1.052225,3.6157,.0539374,.1198073,52.68177,-52.68177,-.2885166,-.9228751,14,5
19,.24877102,.1749478,-.0021999,.8932961,8553,-.0865348,.950047,3.896986,.0377714,-.2170349,-231.3556,231.3556,-1.854915,-1.737518,45,5
21,1.29893,.1712712,.0030948,.9133098,1512,.4740578,5.350587,16.41261,.0300452,.2755469,112.6068,-112.6068,-1.641574,-2.388555,21,5
