hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.18022696,.2618125,-.0002714,.8789104,7066,.1359161,1.139061,5.384686,.0670815,-.0089609,163.7216,-163.7216,.4127369,.3819475,69,1
2,.54875981,.2134758,-.0050678,.8841733,1914,.1425549,.7985034,3.079819,.0299713,-.3124192,-98.81734,98.81734,-.3598476,-.8184055,16,1
5,.11031827,.2500648,.0008137,.8967402,2905,.2699466,2.037458,6.367942,.0428577,.0133921,-59.98961,59.98963,3.42099,2.552903,34,1
6,1.808e-13,.2067686,.0004316,.8917866,3409,.018406,4.212702,16.11278,.0532759,.0223012,81.13627,-81.13628,-2.097102,-2.279298,23,1
7,.01455374,.1397709,.0001011,.8960252,1505,.2096675,1.287124,4.843228,.0430613,.0076957,20.22955,-20.22956,.4244738,-.0289917,25,1
9,.17041574,.1921847,-.0001712,.9078974,127,-.072843,2.923247,11.11351,.0430338,-.0415215,.3158421,-.3158429,2.527867,2.803691,17,1
11,.12387494,.3835627,-.0041991,.905207,3533,.3167851,.7576976,3.365586,.0426222,-.0571172,-507.0284,507.0284,-.5547301,-.7213266,31,1
12,.03065552,.4055981,-.0042205,.9131726,9836,-.0984687,3.232417,16.71822,.0414622,-.0466838,-768.0132,768.0132,-1.338041,-1.066489,65,1
14,.33470738,.2789772,-.0041305,.902174,3008,.1530525,2.585828,14.97981,.0457579,-.0789473,-257.9807,257.9807,-1.025822,-2.469503,29,1
15,.75199446,.3600793,-.0011157,.9124214,2900,.0635531,.979574,3.296278,.011122,-.0909941,-144.1788,144.1788,-1.135861,-1.544639,12,1
16,.11213959,.1716065,.0013464,.9012736,1729,.0137273,4.510777,17.50962,.0352489,.107866,81.91949,-81.91949,-1.625153,-1.608109,25,1
18,0,.1176428,.0021551,.8966047,1225,.3073868,1.051772,3.611598,.0539374,.122031,57.30318,-57.30318,-.2912218,-.9258429,14,1
19,.1457358,.2663594,.0051545,.8932981,8553,-.0867282,.9500161,3.89676,.0377714,.1200016,239.1173,-239.1173,-1.854929,-1.737763,45,1
21,.63310349,.195479,.0036791,.9133189,1512,.4740431,5.350862,16.4077,.0300452,.2242328,137.4524,-137.4523,-1.642322,-2.388245,21,1
22,.949766,.1182952,.0012303,.8839856,824,.1877421,.8789973,3.144668,.034199,.1285791,41.19389,-41.19388,-.3762344,-.8300754,13,1
23,3.287e-14,.5024443,-.0019338,.9287221,4599,.1141873,3.117446,17.61921,.0398934,-.012531,50.01434,-50.01433,-.8552349,-1.176686,75,1
25,.41813838,.2461897,-.0045321,.9075568,2079,.1606603,.9049613,4.302002,.0554049,-.2277816,-98.82974,98.82975,.8004611,.456016,37,1
31,.26119433,.1381975,.0009185,.8996488,1811,.1008763,3.030349,15.78721,.0958042,.048911,24.80993,-24.80993,-.7569786,-2.230567,24,1
33,5.834e-23,.5181882,-.0035391,.92044,2628,-.0726978,4.107773,18.54305,.0429536,-.0259874,-467.8073,467.8073,.0125332,.2163058,47,1
43,0,.3348378,-.0091598,.8806783,2405,-.0427959,.7614471,3.182206,.0705186,-.1286003,-234.9703,234.9703,-1.443196,-1.377659,20,1
56,.07140823,.443617,-.0022629,.9039394,10867,.263503,.9866867,4.62638,.0423304,-.0388191,-767.7966,767.7965,.1536148,-.227086,117,1
58,.44096152,.2797721,-.0003001,.9061145,2658,.1840154,2.266024,17.06993,.0398901,-.0239309,-4.596063,4.596063,.4448243,-.3688365,54,1
62,1.0206289,.2715268,.0003403,.9097724,540,.226558,.9969481,3.936476,.0369925,.0170114,5.525545,-5.525546,.3530664,.0663374,40,1
65,2.87e-130,.4360337,-.0020335,.9158301,1782,.0753922,2.28003,16.04873,.0410201,-.0818206,-135.1157,135.1157,-.6637493,-1.398625,48,1
69,.49180407,.0816715,-.0014629,.9170157,1610,-.1343234,3.203065,15.52211,.0627493,-.1973278,-43.08557,43.08557,-1.891539,-.0665279,18,1
73,.35306706,.2027004,.0024935,.91439,1847,.2255957,.6020883,2.041406,.035222,.1064239,171.6401,-171.6401,.1025371,-.0288641,13,1
77,.21783543,.4391057,.000115,.9142958,7613,.1827685,3.021243,17.53596,.0446365,.0018136,503.6255,-503.6255,-.1594716,-1.243886,79,1
78,0,.2502109,.0025874,.9231288,1611,.1846646,3.188831,16.34728,.046526,.0944698,94.45178,-94.4518,-.1455002,-1.790906,21,1
79,.04207166,.3871871,-.0007457,.8941879,1551,.0114467,3.05778,17.21739,.0350476,-.0253878,19.03498,-19.03498,-1.149657,-1.380633,77,1
80,.35502725,.4609988,.0063513,.921075,5573,.1267827,4.222044,17.06921,.0254864,.111113,618.8892,-618.8892,-2.391439,-2.849795,60,1
81,0,.415573,.0080768,.9147529,2470,.2272158,2.607276,18.81569,.0438899,.0959705,163.378,-163.378,1.808384,.3610121,56,1
82,.16401537,.3746819,-.0007608,.9165264,2244,-.0036568,.9383012,4.219881,.0454825,-.0097462,112.6744,-112.6744,.9263021,1.248756,50,1
83,.04481105,.3312622,.003546,.9304925,1510,.47391,1.17591,4.184316,.0247816,.1100748,46.40311,-46.40314,.9983205,.5032759,16,1
85,0,.245412,.0007414,.9177596,1749,.1964323,1.194579,4.621611,.040716,.0653726,49.964,-49.964,-.9106718,-1.211562,37,1
86,.50974961,.2700423,-.0008067,.9321857,2650,.0734013,1.904249,5.594193,.0249032,-.079901,45.62823,-45.62824,-.054502,-.3728709,23,1
87,0,.4380847,-.004188,.9237152,1222,.1974448,.9489788,4.138649,.0440577,-.0338214,55.90618,-55.90619,-.0307448,-.4783374,35,1
89,.07053875,.3308182,.000304,.9241668,1819,.0018627,3.866453,17.02816,.0310958,.0080515,-3.572614,3.572607,-1.698164,-.0585839,39,1
91,.86873417,.3747725,.0028587,.908947,1438,.0996788,2.030232,15.28301,.0404147,.0791356,174.0321,-174.0321,.7175959,.7011137,52,1
96,0,.3244928,-.0022629,.9207187,2886,.139081,2.97744,18.22539,.0391103,-.0498343,-264.584,264.584,-.9336413,-1.016691,63,1
101,2.031e-21,.2871388,.0025715,.917513,944,.3581176,1.199748,5.952998,.0224595,.1627203,124.3277,-124.3276,-.9689728,-1.589728,20,1
102,0,.3418603,-.0086684,.9109736,3357,.0827104,.82004,3.564321,.0283326,-.2152817,-785.2021,785.2021,-1.397127,-1.622487,27,1
104,1.4323723,.137823,.0011008,.9142335,1947,.0640624,5.12537,15.10406,.0255198,.0908002,-38.97061,38.9706,-1.352153,-2.862263,19,1
105,.75089106,.1413115,-.0004379,.9318404,1460,.2999128,.7934245,2.856748,.0382778,-.0898913,-10.12259,10.12259,1.112107,.8370162,15,1
106,5.931e-21,.5069225,-.0243344,.9032273,1638,.2456515,3.143373,17.25077,.0237149,-.3629156,-4.394379,4.394371,.051655,-1.37004,22,1
107,1.589e-14,.140143,.0010474,.8980451,1073,.1584518,.7584032,2.462554,.0224627,.1943374,58.84277,-58.84277,.6086808,.4072577,,1
109,3.728e-28,.3110057,-.0025588,.9098209,2546,-.0816213,3.249093,17.69162,.0364148,-.0577517,-164.3672,164.3672,-1.680449,-.7661265,75,1
110,0,.4419168,-.0054601,.8975994,5688,.0595999,3.982726,19.70082,.0402162,-.049826,-884.3882,884.3882,-.9332721,.4069102,80,1
111,.2846329,.3028657,-.0020316,.8974799,7660,.2423354,2.981272,16.45439,.0395282,-.0465296,-159.9853,159.9853,1.121756,-.1124277,106,1
112,0,.5583948,.0022826,.9111323,6775,.0509297,.8027248,4.395267,.043428,.0114727,-149.9463,149.9464,-.5641778,-.6778907,58,1
113,.03062134,.4345878,-.0037614,.9091252,10840,.0561264,.9819505,4.493511,.036687,-.0461057,-1081.934,1081.934,-1.646297,-1.577402,93,1
115,.05058827,.2407523,.0011829,.9048863,2441,.0543778,4.321171,16.60773,.0422442,.0321813,225.2346,-225.2346,-.1897715,-2.471102,23,1
