hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.39398606,.3142273,.0008786,.878905,7066,.1359145,1.139107,5.386382,.0670815,.0197674,180.8032,-180.8032,.4123412,.3817873,69,5
2,.82554734,.1475678,-.0029039,.8841816,1914,.1423929,.7984113,3.077406,.0299713,-.2310256,-47.85336,47.85336,-.3636799,-.8199968,16,5
5,.21516644,.3317662,.0014063,.8967392,2905,.2699685,2.037161,6.367646,.0428577,.016477,-157.3404,157.3404,3.420853,2.552178,34,5
6,7.835e-20,.3653851,.0006476,.8917866,3409,.0184408,4.2129,16.11274,.0532759,.0111013,-276.8018,276.8018,-2.096292,-2.2791,23,5
7,2.187e-16,.2408528,-.0027166,.8960265,1505,.2099609,1.287285,4.8446,.0430613,-.0644511,-106.4107,106.4107,.4247464,-.029483,25,5
9,.52025657,.2012087,-.0053441,.9078858,127,-.0739426,2.928112,11.12751,.0430338,-.453012,-6.82127,6.82127,2.531684,2.815557,17,5
11,.22629888,.3934611,-.0055088,.9052049,3533,.3166442,.7582111,3.367844,.0426222,-.0722233,-509.3544,509.3544,-.5539499,-.7210881,31,5
12,.11527037,.397615,-.0068429,.9131711,9836,-.098464,3.232646,16.72005,.0414622,-.0827483,-1287.492,1287.492,-1.336769,-1.065382,65,5
14,.65046713,.2687916,.0019131,.9021674,3008,.1531417,2.586381,14.98235,.0457579,.0614713,76.06388,-76.06385,-1.025456,-2.470806,29,5
15,1.5265259,.3411517,-.0016756,.9124177,2900,.0648453,.979773,3.293829,.011122,-.1666193,-321.7905,321.7905,-1.135451,-1.546652,12,5
16,.45894833,.1908751,-.0012446,.9012715,1729,.0134007,4.510893,17.52828,.0352489,-.0517569,-116.6487,116.6487,-1.626865,-1.60788,25,5
18,3.547e-29,.2360121,-.00488,.8965937,1225,.3071409,1.052225,3.6157,.0539374,-.1084357,-83.66262,83.66262,-.2885166,-.9228751,14,5
19,.24877102,.3041193,-.0107217,.8932961,8553,-.0865348,.950047,3.896986,.0377714,-.2267682,-1361.963,1361.963,-1.854915,-1.737518,45,5
21,1.29893,.2969233,-.0021716,.9133098,1512,.4740578,5.350587,16.41261,.0300452,-.1162832,-110.7201,110.7201,-1.641574,-2.388555,21,5
22,1.6328813,.086673,.0007088,.8839752,824,.1896153,.8913447,3.168087,.034199,.2642852,-3.626544,3.626547,-.3647244,-.8206658,13,5
23,2.324e-35,.4931415,-.0170673,.9287221,4599,.1142467,3.11749,17.61921,.0398934,-.1683592,-808.4764,808.4763,-.8548694,-1.1766,75,5
25,.70483288,.3507188,-.009958,.9075524,2079,.1617564,.9057547,4.301384,.0554049,-.1567133,-366.9019,366.9019,.8013101,.4529462,37,5
31,.61068395,.3482053,-.0151963,.899621,1811,.1006414,3.031786,15.79368,.0958042,-.1261927,-211.6589,211.6589,-.7540696,-2.226974,24,5
33,3.491e-51,.5105396,-.0071513,.92044,2628,-.0726874,4.107851,18.54358,.0429536,-.0558009,-596.925,596.925,.0129014,.2163909,47,5
43,.00040164,.2251925,-.0016958,.8806413,2405,-.0443794,.7615349,3.183102,.0705186,-.098971,-.2448701,.244858,-1.441331,-1.374293,20,5
56,.01623612,.4578975,-.0040093,.9037485,10867,.2583007,.9972991,4.630985,.0423304,-.0843355,-1133.133,1133.133,.1545825,-.21525,117,5
58,.83181408,.3672381,-.0036686,.906106,2658,.1837317,2.26565,17.06865,.0398901,-.1334216,-25.60849,25.60849,.4446093,-.3680222,54,5
62,1.5553793,.2962958,-.0006478,.9097998,540,.2279745,.9962311,3.921083,.0369925,-.0232692,20.50276,-20.50276,.3474237,.0635022,40,5
65,0,.4429599,-.0053262,.9158485,1782,.0755632,2.278862,16.03883,.0410201,-.1369066,-196.0341,196.0341,-.6652281,-1.400383,48,5
69,.62591374,.300964,-.0129329,.9170391,1610,-.1329271,3.202035,15.51811,.0627493,-.1536067,-250.2674,250.2674,-1.892215,-.0741816,18,5
73,.73548604,.1821056,-.0018906,.9143535,1847,.2248248,.5999233,2.044053,.035222,-.1795883,-10.53037,10.53037,.1041043,-.0283152,13,5
77,.51826101,.4593913,.0021917,.9142928,7613,.182614,3.021115,17.535,.0446365,.0320604,963.4439,-963.444,-.16024,-1.243675,79,5
79,0,.3951948,.0023823,.8942032,1551,.012639,3.1721,17.83496,.0350476,.0811928,122.508,-122.508,-1.164388,-1.412093,77,5
80,.79629241,.3724496,-.0022715,.9210682,5573,.12687,4.222167,17.06965,.0254864,-.1367267,-273.9947,273.9947,-2.391212,-2.849705,60,5
81,6.382e-22,.4190711,-.0016866,.9147145,2470,.2267677,2.607246,18.81904,.0438899,-.0249074,-133.2802,133.2802,1.809798,.3640389,56,5
82,.11112463,.3503242,-.0010819,.916532,2244,-.0030394,.9387806,4.220781,.0454825,-.0280981,-92.05547,92.05547,.9285736,1.25025,50,5
83,0,.3139306,-.0043468,.9305075,1510,.4745795,1.177155,4.188651,.0247816,-.1489088,-181.2367,181.2367,1.000643,.5025731,16,5
85,3.641e-22,.3568597,-.0049592,.9177243,1749,.1961615,1.194299,4.622732,.040716,-.0779973,-231.5547,231.5547,-.9095728,-1.210029,37,5
86,1.119905,.3280966,-.000356,.9321766,2650,.0727108,1.905262,5.595168,.0249032,-.0188587,63.7675,-63.76751,-.0537664,-.3715997,23,5
87,1.001e-13,.3415562,-.002782,.9236995,1222,.196788,.9485065,4.134447,.0440577,-.0467632,-94.58288,94.58287,-.0335731,-.4799255,35,5
89,.13662449,.3247192,.0020187,.9241655,1819,.0018705,3.866137,17.02741,.0310958,.0735402,209.4925,-209.4925,-1.698308,-.0586936,39,5
91,1.5857458,.4253642,.0045399,.908946,1438,.1004291,2.030116,15.2758,.0404147,.0887989,294.966,-294.966,.7179687,.6986512,52,5
96,8.060e-32,.378816,-.0043124,.9207008,2886,.1390062,2.978066,18.22872,.0391103,-.0625359,-380.2292,380.2292,-.9335439,-1.015896,63,5
101,9.687e-42,.3208185,-.0016465,.917513,944,.3581873,1.199723,5.95295,.0224595,-.1078677,36.20447,-36.20446,-.9687809,-1.589561,20,5
102,1.14e-168,.3387257,-.0008882,.9109688,3357,.0824515,.8201143,3.564819,.0283326,-.0239727,-259.9225,259.9226,-1.397179,-1.622289,27,5
104,1.8668908,.3886205,-.0004842,.9142345,1947,.0630377,5.127748,15.10641,.0255198,-.0108541,-326.3974,326.3974,-1.361595,-2.859304,19,5
105,1.2620064,.2433088,-.0018731,.931826,1460,.3027754,.7936802,2.862704,.0382778,-.0910844,-165.8426,165.8426,1.110945,.8337481,15,5
107,2.582e-18,.1469648,-.0001213,.8980451,1073,.1584074,.7585843,2.462841,.0224627,-.0239944,-2.751961,2.751957,.6091484,.4076231,,5
109,2.108e-16,.3997301,-.0000361,.9098175,2546,-.0816234,3.247671,17.6842,.0364148,-.0006162,-34.7724,34.77241,-1.680064,-.7661715,75,5
110,1.935e-17,.4552611,-.008671,.8975747,5688,.0593126,3.983921,19.70522,.0402162,-.0879174,-1078.78,1078.78,-.9330348,.408971,80,5
111,.45452435,.4413409,-.0025723,.8974772,7660,.2422926,2.981297,16.45589,.0395282,-.0352636,-488.7159,488.7159,1.123361,-.1105821,106,5
112,2.935e-16,.598592,-.0146421,.9111248,6775,.0506558,.8026215,4.396319,.043428,-.0981219,-1242.249,1242.249,-.5635982,-.6765584,58,5
113,.18275349,.4541892,-.0073888,.9091239,10840,.0560864,.982259,4.49413,.036687,-.1076539,-1951.699,1951.699,-1.64643,-1.577596,93,5
115,1.197e-15,.4800467,-.0025981,.9048861,2441,.0544375,4.322739,16.60976,.0422442,-.0294571,347.4984,-347.4984,-.1905426,-2.471867,23,5
116,.19719266,.4349432,-.003974,.8969112,2710,-.0764952,2.5778,16.99379,.049873,-.0379286,-312.5479,312.5479,-.3602412,.2907383,40,5
118,.25229642,.401513,-.0083285,.8995392,11205,.060029,.796459,3.105794,.0502403,-.1356653,-1557.838,1557.838,-.7184285,-.7143244,45,5
119,.39026443,.3659283,.0007419,.9045587,13437,.2265177,.8164113,3.153894,.0522673,.0128574,909.275,-909.2748,-.2908166,-.3112562,49,5
120,.56598772,.1794575,-.0000604,.8860402,2441,.0158655,2.851469,16.866,.0468252,-.0038199,-14.14042,14.14042,-1.025863,-1.911322,31,5
122,0,.2633705,.0018267,.8864109,2465,-.0900643,2.502655,17.84534,.0429117,.1104172,50.07932,-50.07932,-1.568504,-.8404523,40,5
123,.08856206,.5115062,-.0122237,.8925767,9094,.2740023,.8302007,4.196094,.0473088,-.0968916,2143.727,-2143.728,-.8410317,-1.416171,35,5
127,1.930e-15,.3229084,-.0079915,.9076207,1120,-.0942223,2.839362,16.43625,.0466686,-.1784983,-153.3535,153.3535,-.7840222,-.0566416,30,5
129,.23063388,.3887551,-.0081506,.9068312,4896,.1224355,3.55511,16.89048,.0416858,-.126436,-935.6215,935.6215,-.5346851,-.5841847,55,5
130,.3856105,.3589145,-.0045001,.8952669,15277,.1080936,1.063953,4.932285,.0399368,-.1611668,-662.2719,662.2719,.3043268,.0028224,118,5
131,1.4446042,.2698865,-.0026681,.9129084,2855,.2328642,.9359762,4.169764,.0364978,-.1032664,-212.3376,212.3376,-.3542141,-.8057133,32,5
133,8.636e-17,.3334848,-.0055829,.8835652,1172,.1550615,.9527847,3.054324,.0329408,-.1540101,138.1693,-138.1693,1.001909,1.089612,,5
134,.45100538,.3272253,-.0085299,.8969566,3829,-.0288256,2.536616,14.94343,.0459868,-.2023503,-386.0705,386.0705,-.8377587,-.562205,31,5
137,1.389e-18,.4753157,-.0097119,.9164577,6920,.0011393,1.502018,5.824627,.0194175,-.2035617,-1627.214,1627.214,2.16581,2.245969,40,5
139,.49189571,.3358638,-.0028734,.8973679,1522,.1016243,.9194023,3.772729,.0514071,-.035428,224.2309,-224.2309,-.7365018,-.7443019,30,5
140,3.219e-18,.162042,.0021742,.8978505,1553,.1343966,1.078893,3.532263,.0473387,.1810157,-14.015,14.015,-.3239372,-1.104477,14,5
141,.26504911,.5019913,-.0021961,.8925651,2784,-.1438597,2.226597,16.57808,.0452234,-.0166757,-553.0426,553.0426,.5775704,1.183385,52,5
142,.72118784,.193285,.0012988,.8848442,288,.1999736,.7702588,2.588032,.0330724,.105396,22.33661,-22.33661,-.7312041,-.8062071,13,5
144,3.429e-20,.4505999,.003676,.9068662,17007,.341923,.8227779,5.449283,.0416171,.0585929,-393.6425,393.6425,-1.636042,-1.994789,78,5
145,.22584758,.2073431,.0036481,.8872428,2871,.5289813,1.014936,3.494014,.0340264,.5914216,62.27771,-62.2777,-.5388252,-1.308836,23,5
146,.62875561,.0269939,.0003679,.9020398,1524,-.0194231,.9637694,2.921941,.0297128,.2835574,19.34301,-19.34302,-.9384145,-.2999537,,5
147,1.218e-38,.20699,-.0019875,.903442,1822,.0025666,2.60285,16.52422,.0354847,-.0774736,-108.447,108.447,-.4138947,.1080436,35,5
148,1.360e-18,.3734849,.0043882,.8783693,1433,.1040603,.824685,3.341077,.0431839,.0981859,261.0588,-261.0588,.9643781,.6212731,29,5
149,4.847e-13,.2952064,-.0064067,.918847,3670,.3413391,.9502721,3.331589,.0342945,-.2078786,46.81156,-46.81155,-.4555439,-.8552383,22,5
150,1.374429,.2422038,-.0003803,.9306112,766,-.0125471,.5112491,1.482565,.0241018,-.0716236,19.65349,-19.65349,-.9764395,-1.081073,,5
151,2.448e-32,.1442333,-.0015564,.9175241,2246,.3935729,1.134793,4.405123,.0489619,-.1074562,-29.01532,29.01532,-1.85314,-2.049022,22,5
154,8.363e-31,.4076643,.0038297,.9169832,1323,-.126655,.9653855,3.905105,.0390932,.1367312,141.4708,-141.4708,.9555775,1.290549,26,5
155,.16384618,.4074195,.0009275,.8813622,4834,.2014556,.8162792,3.794051,.0414708,.0184546,337.9881,-337.9881,-.1802595,-.4825155,68,5
156,.22307119,.4761123,-.0082375,.8917025,3599,.1165967,2.712334,19.93223,.040932,-.1452422,-280.5528,280.5527,-1.585522,-1.854787,79,5
158,2.62e-221,.394169,-.0012672,.9065113,3872,.100218,2.404561,18.64466,.0340804,-.0343006,-185.3726,185.3726,-.7390273,-1.502133,52,5
161,0,.4047366,-.0082868,.9082645,7401,.2641558,1.019929,3.892802,.0315617,-.1520261,-966.1552,966.1552,-1.60033,-2.247918,49,5
164,0,.4588011,-.0010712,.8896447,3315,.3738266,3.014444,18.42579,.0415445,-.0160296,166.6739,-166.674,.4480211,-1.074939,64,5
166,.63057956,.4543676,-.0007279,.9043281,6121,.3328441,1.044339,5.48633,.0390576,-.0183287,-576.6096,576.6095,-1.219694,-1.829833,69,5
170,.18957239,.2659574,.0012249,.9057777,4417,-.0196204,1.346894,6.272684,.037779,.0325832,-74.28165,74.28165,-.855687,-1.145606,43,5
171,1.313e-13,.5122436,-.0027527,.9027888,4993,.2369388,2.03429,16.58836,.0298294,-.038777,568.9156,-568.9156,.9842619,.2743426,64,5
172,0,.2894378,-.0003982,.8908373,2801,.0524482,2.154723,16.01477,.0357876,-.0136166,-110.1248,110.1248,-1.040554,-1.796171,55,5
173,1.6744211,.4269234,.0049687,.8902319,1398,.0918858,3.862987,15.88524,.032418,.1922497,174.6232,-174.6232,-1.898663,-1.774156,29,5
175,0,.3667797,.0067228,.9078542,1220,.4387624,.9159942,3.545343,.03589,.154884,-102.4165,102.4165,.8223089,-.1625243,15,5
179,.41662624,.2817689,-.0005274,.908576,4474,.0276756,1.029731,4.626433,.0282701,-.0158733,-315.153,315.153,-.9599619,-.9502993,35,5
180,.64600312,.3081414,.0017536,.889009,3706,-.0830813,3.884727,16.5293,.0419177,.0292132,558.2394,-558.2394,-3.415205,-1.365688,43,5
