hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.18022696,.4004999,-.0129535,.8789104,7066,,0,0,.0670815,-.1840104,-755.1463,755.1463,0,0,69,1
2,.54875981,.3144914,-.0035404,.8841733,1914,,0,0,.0299713,-.1604161,-88.24503,88.24503,0,0,16,1
5,.11031827,.3438193,-.0002296,.8967402,2905,,0,0,.0428577,-.0032934,-144.7433,144.7433,0,0,34,1
6,1.808e-13,.3358911,-.0013439,.8917866,3409,,0,0,.0532759,-.0238771,-257.2815,257.2815,0,0,23,1
7,.01455374,.2211872,-.0027095,.8960252,1505,,0,0,.0430613,-.1586708,-29.2639,29.26391,0,0,25,1
9,.17041574,.6585646,-.0266143,.9078974,127,,0,0,.0430338,-.3679074,-31.6149,31.6149,0,0,17,1
11,.12387494,.5656209,-.0196639,.905207,3533,,0,0,.0426222,-.2057588,-656.1657,656.1656,0,0,31,1
12,.03065552,.4412682,-.0085266,.9131726,9836,,0,0,.0414622,-.1070083,-1004.975,1004.976,0,0,65,1
14,.33470738,.393515,-.0032116,.902174,3008,,0,0,.0457579,-.0609145,-162.7162,162.7162,0,0,29,1
15,.75199446,.4185451,-.0044951,.9124214,2900,,0,0,.011122,-.3504848,-775.6209,775.621,0,0,12,1
16,.11213959,.2723273,-.0033141,.9012736,1729,,0,0,.0352489,-.1665629,-8.527101,8.527101,0,0,25,1
18,0,.1664912,-.0025481,.8966047,1225,,0,0,.0539374,-.1806592,-41.39973,41.39973,0,0,14,1
19,.1457358,.3664359,-.0048125,.8932981,8553,,0,0,.0377714,-.1272999,-671.9738,671.9738,0,0,45,1
21,.63310349,.3432422,-.0057426,.9133189,1512,,0,0,.0300452,-.1559741,-136.9252,136.9252,0,0,21,1
22,.949766,.1594922,-.0007944,.8839856,824,,0,0,.034199,-.0911814,-45.0049,45.00489,0,0,13,1
23,3.287e-14,.5201874,-.0204025,.9287221,4599,,0,0,.0398934,-.1951543,-1283.15,1283.15,0,0,75,1
25,.41813838,.4240189,-.0116542,.9075568,2079,,0,0,.0554049,-.1204703,-635.9608,635.9608,0,0,37,1
31,.26119433,.2253932,-.0035335,.8996488,1811,,0,0,.0958042,-.0690489,9.234917,-9.234921,0,0,24,1
33,5.834e-23,.4127635,-.0043832,.92044,2628,,0,0,.0429536,-.08803,-217.6624,217.6623,0,0,47,1
43,0,.4702043,-.0038404,.8806783,2405,,0,0,.0705186,-.0311318,-53.22147,53.22147,0,0,20,1
56,.07140823,.5294815,-.0101021,.9039394,10867,,0,0,.0423304,-.1706222,-1580.26,1580.26,0,0,117,1
58,.44096152,.4671707,-.0066233,.9061145,2658,,0,0,.0398901,-.1003913,-154.5157,154.5157,0,0,54,1
62,1.0206289,.4083022,-.0108769,.9097724,540,,0,0,.0369925,-.2654402,-38.48491,38.4849,0,0,40,1
65,2.87e-130,.5203404,-.0012602,.9158301,1782,,0,0,.0410201,-.0231664,-145.9118,145.9118,0,0,48,1
69,.49180407,.150689,-.0097821,.9170157,1610,,0,0,.0627493,-.2539985,-159.5719,159.5719,0,0,18,1
73,.35306706,.2834802,-.0067761,.91439,1847,,0,0,.035222,-.2408751,-134.4997,134.4997,0,0,13,1
77,.21783543,.4782484,-.0064529,.9142958,7613,,0,0,.0446365,-.1141005,-621.9494,621.9495,0,0,79,1
78,0,.431584,-.0041773,.9231288,1611,,0,0,.046526,-.0734247,-315.1622,315.1622,0,0,21,1
79,.04207166,.4608768,.0078858,.8941879,1551,,0,0,.0350476,.1826632,258.9702,-258.9702,0,0,77,1
80,.35502725,.4593568,-.0051072,.921075,5573,,0,0,.0254864,-.1508648,-606.4294,606.4294,0,0,60,1
81,0,.4934942,-.0109232,.9147529,2470,,0,0,.0438899,-.1249904,-472.4451,472.4452,0,0,56,1
82,.16401537,.4817539,-.0059266,.9165264,2244,,0,0,.0454825,-.0867371,-231.3846,231.3846,0,0,50,1
83,.04481105,.2747993,-.0055667,.9304925,1510,,0,0,.0247816,-.3390884,-158.568,158.568,0,0,16,1
85,0,.489809,-.0053586,.9177596,1749,,0,0,.040716,-.0618508,-204.8067,204.8067,0,0,37,1
86,.50974961,.3832728,.0011284,.9321857,2650,,0,0,.0249032,.0474519,241.7106,-241.7106,0,0,23,1
87,0,.5179816,-.0077821,.9237152,1222,,0,0,.0440577,-.1029058,-243.7007,243.7007,0,0,35,1
89,.07053875,.3633835,-.0004983,.9241668,1819,,0,0,.0310958,-.0181318,-42.29514,42.29513,0,0,39,1
91,.86873417,.6006855,-.0054043,.908947,1438,,0,0,.0404147,-.0555077,136.197,-136.197,0,0,52,1
96,0,.4619025,-.011509,.9207187,2886,,0,0,.0391103,-.1447681,-616.1368,616.1368,0,0,63,1
101,2.031e-21,.3657073,-.0085249,.917513,944,,0,0,.0224595,-.4047395,-144.0913,144.0913,0,0,20,1
102,0,.3069656,-.0047135,.9109736,3357,,0,0,.0283326,-.275603,-334.2883,334.2883,0,0,27,1
104,1.4323723,.4283996,-.0031767,.9142335,1947,,0,0,.0255198,-.0646201,-468.5419,468.5419,0,0,19,1
