hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
1,23.329537,.4386657,.015125,.878905,7066,,0,0,.0670815,.1739554,1425.62,-1425.62,0,0,69,23.32954,5
2,34.28983,.3228803,.0123757,.8841816,1914,,0,0,.0299713,.6486422,237.0821,-237.0821,0,0,16,34.28983,5
5,47.602851,.6066049,.0246973,.8967392,2905,,0,0,.0428577,.1900977,75.93192,-75.93193,0,0,34,47.60285,5
6,29.011989,.5375422,.0113101,.8917866,3409,,0,0,.0532759,.1215497,22.10577,-22.10582,0,0,23,29.01199,5
7,23.742919,.3414572,.0059695,.8960265,1505,,0,0,.0430613,.1010414,-5.812644,5.812636,0,0,25,23.74292,5
9,70.665541,.5331588,.0109838,.9078858,127,,0,0,.0430338,.1724031,21.30337,-21.30337,0,0,17,70.66554,5
11,13.99425,.5540875,.0050859,.9052049,3533,,0,0,.0426222,.056239,29.49582,-29.49579,0,0,31,13.99425,5
12,25.050356,.4662982,.0114534,.9131711,9836,,0,0,.0414622,.137454,891.73,-891.73,0,0,65,25.05036,5
14,21.577625,.5773772,.0243423,.9021674,3008,,0,0,.0457579,.2385582,971.3445,-971.3446,0,0,29,21.57763,5
15,72.143509,.4167506,.0018732,.9124177,2900,,0,0,.011122,.165533,26.32189,-26.32188,0,0,12,72.14351,5
16,30.321178,.3001615,.0109083,.9012715,1729,,0,0,.0352489,.464778,173.9105,-173.9105,0,0,25,30.32118,5
18,23.723396,.2092701,-.0008847,.8965937,1225,,0,0,.0539374,-.0254524,-19.00994,19.00995,0,0,14,23.7234,5
19,34.412132,.5697702,.0350052,.8932961,8553,,0,0,.0377714,.3063694,2558.074,-2558.074,0,0,45,34.41213,5
21,51.604362,.3907449,.0145524,.9133098,1512,,0,0,.0300452,.3899665,427.9987,-427.9987,0,0,21,51.60436,5
22,29.673329,.2480529,.007058,.8839752,824,,0,0,.034199,.4975805,24.67464,-24.67463,0,0,13,29.67333,5
23,47.0669,.6134183,.0296894,.9287221,4599,,0,0,.0398934,.2413605,689.3293,-689.3293,0,0,75,47.0669,5
25,16.987407,.4995068,.0045572,.9075524,2079,,0,0,.0554049,.0459446,-246.6683,246.6683,0,0,37,16.98741,5
31,10.233053,.4723069,.0098323,.899621,1811,,0,0,.0958042,.0613731,30.55148,-30.55149,0,0,24,10.23305,5
33,31.23332,.6463247,.0236321,.92044,2628,,0,0,.0429536,.1734899,237.774,-237.774,0,0,47,31.23332,5
43,13.880191,.466525,.0295392,.8806413,2405,,0,0,.0705186,.3404638,722.4427,-722.4427,0,0,20,13.88019,5
56,53.511175,.8078855,.0628635,.9037485,10867,,0,0,.0423304,.3370947,3883.273,-3883.273,0,0,117,53.51117,5
58,33.045596,.539841,.01721,.906106,2658,,0,0,.0398901,.2382079,646.0405,-646.0405,0,0,54,33.0456,5
62,21.882436,.3976731,.0055801,.9097998,540,,0,0,.0369925,.1517441,54.57833,-54.57833,0,0,40,21.88244,5
65,18.139756,.561008,.0180509,.9158485,1782,,0,0,.0410201,.2861543,216.8813,-216.8813,0,0,48,18.13976,5
69,21.61681,.2857159,.000435,.9170391,1610,,0,0,.0627493,.0052569,-11.87989,11.87991,0,0,18,21.61681,5
