hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
1,"current",1,7066,.0002948,,.8789104,.8465704,.8513514,.9005525,.9283582,.8792052,.8230384,.850365,.9032609,.9283582,,,,,,,,,,
2,"current",1,1914,-.0026557,,.8841733,.8448276,.8556701,.8980178,.9173177,.8815176,.8448276,.8556701,.8960302,.9173177,,,,,,,,,,
5,"current",1,2905,.0007675,,.8967403,.8939148,.8939148,.90455,.90455,.8975078,.8939148,.8939148,.90455,.90455,,,,,,,,,,
6,"current",1,3409,-.0006066,,.8917866,.8864661,.8904463,.890852,.8967742,.89118,.8864661,.8904463,.890852,.9032258,,,,,,,,,,
7,"current",1,1505,.0002013,,.8960252,.8795054,.8990228,.8990228,.8990228,.8962265,.8888889,.8990228,.8990228,.8990228,,,,,,,,,,
9,"current",1,127,.0011134,,.9078974,.8741093,.9012346,.9316832,.9316832,.9090108,.8741093,.9032609,.9316832,.9316832,,,,,,,,,,
11,"current",1,3533,-.0041202,,.905207,.8728324,.9001794,.9212514,.9245283,.9010868,.852,.9001794,.9212514,.9367946,,,,,,,,,,
12,"current",1,9836,-.0040424,,.9131726,.8811189,.9026627,.9238946,.9392523,.9091302,.8689956,.9001794,.9238946,.9392523,,,,,,,,,,
14,"current",1,3008,-.0034483,,.9021741,.8853576,.8853576,.9212514,.9212514,.8987257,.8853576,.8853576,.9212514,.9212514,,,,,,,,,,
15,"current",1,2900,-.0008434,,.9124215,.8912281,.9118217,.916221,.919708,.9115781,.8912281,.9118217,.916221,.919708,,,,,,,,,,
16,"current",1,1729,.0015237,,.9012736,.875,.8943396,.900102,.9421487,.9027973,.875,.8985765,.900102,.974359,,,,,,,,,,
18,"current",1,1225,.001999,,.8966047,.8691207,.9024745,.9024745,.9024745,.8986037,.8909091,.9024745,.9024745,.9024745,,,,,,,,,,
19,"current",1,8553,-.0027829,,.8932981,.8477443,.8701261,.9175659,.9448052,.8905152,.8477443,.8701261,.9175659,.9448052,,,,,,,,,,
21,"current",1,1512,.0027797,,.9133189,.8934911,.8985765,.9359756,.9359756,.9160986,.8934911,.8985765,.9359756,.9359756,,,,,,,,,,
22,"current",1,824,.0012453,,.8839856,.8491336,.8648897,.9065934,.9065934,.8852308,.8491336,.8648897,.9065934,.9065934,,,,,,,,,,
23,"current",1,4599,-.0035714,,.9287221,.8775773,.9104683,.9517652,.9517652,.9251507,.8762887,.9087969,.943662,.9517652,,,,,,,,,,
25,"current",1,2079,-.0014408,,.9075568,.8730159,.9059829,.9314999,.9314999,.9061161,.8730159,.9059829,.9314999,.9314999,,,,,,,,,,
31,"current",1,1811,-.0014384,,.8996488,.8305085,.9173061,.9173061,.9214876,.8982105,.7701864,.9078531,.9173061,.9173061,,,,,,,,,,
33,"current",1,2628,-.0027643,,.92044,.8984771,.9245158,.9245158,.9410484,.9176756,.893617,.90201,.9313027,.9410484,,,,,,,,,,
43,"current",1,2405,-.0052641,,.8806783,.8461539,.8648649,.9082569,.94,.8754142,.8095238,.8648649,.9014373,.9305556,,,,,,,,,,
56,"current",1,10867,-.000537,,.9039394,.8527132,.8899587,.9179398,.9429448,.9034024,.8527132,.8899587,.9179398,.9429448,,,,,,,,,,
58,"current",1,2658,.0013393,,.9061145,.8693182,.8987916,.9314999,.9396378,.9074537,.877551,.8987916,.9314999,.9396378,,,,,,,,,,
62,"current",1,540,.0007426,,.9097724,.8933333,.9012346,.9294118,.9344512,.910515,.8933333,.90201,.9295775,.94,,,,,,,,,,
65,"current",1,1782,.0004654,,.9158301,.8673537,.8980582,.9410484,.9549356,.9162955,.8673537,.8980582,.9410484,.9549356,,,,,,,,,,
69,"current",1,1610,-.0011364,,.9170157,.9191919,.9232097,.9232097,.9232097,.9158793,.9191919,.9232097,.9232097,.9232097,,,,,,,,,,
73,"current",1,1847,.0015884,,.91439,.874351,.874351,.9347826,.9540541,.9159784,.874351,.9215891,.9347826,.9540541,,,,,,,,,,
77,"current",1,7613,.0007259,,.9142958,.888806,.9025974,.9295775,.9506173,.9150217,.888806,.8980582,.9295775,.9518072,,,,,,,,,,
78,"current",1,1611,.0022914,,.9231288,.8965517,.9086294,.9349397,.9410484,.9254202,.8965517,.9121622,.9349397,.9410484,,,,,,,,,,
79,"current",1,1551,-.0008925,,.8941879,.8714436,.8762887,.9190751,.9307692,.8932955,.8714436,.8762887,.9190751,.9289268,,,,,,,,,,
80,"current",1,5573,.0024518,,.921075,.8902276,.9106858,.9313113,.939951,.9235269,.8992974,.9164345,.939951,.939951,,,,,,,,,,
81,"current",1,2470,.0018808,,.914753,.8783784,.910101,.9243119,.9410484,.9166337,.8783784,.910101,.9243119,.982906,,,,,,,,,,
82,"current",1,2244,.0004919,,.9165264,.8673537,.9068323,.9345238,.9410484,.9170183,.8673537,.910101,.9329897,.9410484,,,,,,,,,,
83,"current",1,1510,.0022559,,.9304925,.9026549,.9363636,.9411765,.9449036,.9327484,.9026549,.9363636,.9449036,.9449036,,,,,,,,,,
85,"current",1,1749,.0013312,,.9177596,.8673537,.9106383,.9329242,.9329242,.9190908,.8673537,.9163974,.9329242,.9329242,,,,,,,,,,
86,"current",1,2650,-.0006694,,.9321856,.9256945,.9256945,.9452297,.9521739,.9315163,.9184783,.9256945,.9466292,.9466292,,,,,,,,,,
87,"current",1,1222,-.0015603,,.9237152,.8776596,.9169776,.9329242,.9410484,.9221549,.9076923,.9169776,.9329242,.9410484,,,,,,,,,,
89,"current",1,1819,-.0003536,,.9241668,.9147287,.9168591,.9329242,.9416342,.9238132,.9147287,.9168591,.9294118,.9416342,,,,,,,,,,
91,"current",1,1438,.0009182,,.908947,.8980582,.8987916,.9078531,.9410484,.9098652,.8976778,.8987916,.9245158,.9410484,,,,,,,,,,
96,"current",1,2886,-.0014313,,.9207187,.8952497,.9074334,.9274691,.9521739,.9192874,.8938053,.9052925,.9274691,.9521739,,,,,,,,,,
101,"current",1,944,.0009926,,.9175131,.8942308,.9082177,.9388186,.9388186,.9185057,.9082177,.9082177,.9388186,.9388186,,,,,,,,,,
102,"current",1,3357,-.0039092,,.9109736,.882939,.8904538,.9192293,.93,.9070644,.882939,.8904538,.9192293,.93,,,,,,,,,,
104,"current",1,1947,.0003535,,.9142334,.912978,.9147975,.9147975,.9147975,.914587,.9113924,.9147975,.9147975,.9147975,,,,,,,,,,
105,"current",1,1460,-.0004755,,.9318404,.9009662,.9346405,.944212,.944212,.9313649,.8888889,.9346405,.944212,.944212,,,,,,,,,,
106,"current",1,1638,-.0093871,,.9032273,.8594203,.9082177,.9147975,.9158768,.8938402,.8594203,.8594203,.9147975,.9170125,,,,,,,,,,
107,"current",1,1073,.0008158,,.8980451,.882939,.8881037,.9192293,.9224138,.8988609,.882939,.8881037,.9192293,.9224138,,,,,,,,,,
109,"current",1,2546,-.0013138,,.9098209,.8834783,.8897932,.9294425,.9375,.9085071,.8834783,.8897932,.9294425,.9375,,,,,,,,,,
110,"current",1,5688,-.0044184,,.8975994,.8638498,.8845628,.9129896,.9171917,.893181,.8592592,.879227,.9129896,.9171917,,,,,,,,,,
111,"current",1,7660,-.001498,,.8974799,.8779987,.8897932,.9109549,.9122341,.8959818,.8779987,.8897932,.9109549,.9126559,,,,,,,,,,
112,"current",1,6775,.0024105,,.9111323,.8943519,.9131386,.9235018,.9235018,.9135429,.887468,.9131386,.9235018,.9235018,,,,,,,,,,
113,"current",1,10840,-.0019377,,.9091251,.8900204,.9047195,.9231475,.9238705,.9071875,.8869048,.9012097,.9231475,.9239072,,,,,,,,,,
115,"current",1,2441,.0004116,,.9048863,.9022657,.9022657,.9022657,.9250321,.9052979,.8921695,.9022657,.912676,.9250321,,,,,,,,,,
116,"current",1,2710,-.0005531,,.8969115,.8843683,.8861567,.9045237,.9045237,.8963584,.8843683,.8861567,.9045237,.9066874,,,,,,,,,,
