hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
1,"full",5,7066,.000189,,.878905,.8465704,.8513514,.9005525,.9283582,.879094,.8230384,.8513514,.9032609,.9283582,,,,,,,,,,
2,"full",5,1914,-.0049359,,.8841816,.8448276,.8556701,.8980178,.9173177,.8792457,.8448276,.8556701,.8915834,.9173177,,,,,,,,,,
5,"full",5,2905,.0008116,,.8967392,.8939148,.8939148,.90455,.90455,.8975509,.8939148,.8939148,.90455,.90455,,,,,,,,,,
6,"full",5,3409,.0004272,,.8917866,.8864661,.8904463,.890852,.8967742,.8922138,.8864661,.8904463,.890852,.9032258,,,,,,,,,,
7,"full",5,1505,.0000997,,.8960265,.8795054,.8990228,.8990228,.8990228,.8961262,.8888889,.8990228,.8990228,.8990228,,,,,,,,,,
9,"full",5,127,.0002147,,.9078858,.8741093,.9012346,.9316832,.9316832,.9081005,.8741093,.9032609,.9316832,.9316832,,,,,,,,,,
11,"full",5,3533,-.0039528,,.9052049,.8728324,.9001794,.9212514,.9245283,.9012521,.852,.8892128,.9238946,.9367946,,,,,,,,,,
12,"full",5,9836,-.0041088,,.9131711,.8811189,.9026627,.9238946,.9392523,.9090623,.8680203,.9001794,.9238946,.9353448,,,,,,,,,,
14,"full",5,3008,-.0038165,,.9021674,.8853576,.8853576,.9212514,.9212514,.898351,.8853576,.8853576,.9212514,.9212514,,,,,,,,,,
15,"full",5,2900,-.0010644,,.9124177,.8912281,.9118217,.916221,.919708,.9113533,.8912281,.9118217,.916221,.919708,,,,,,,,,,
16,"full",5,1729,.0015004,,.9012715,.875,.8943396,.900102,.9421487,.9027719,.875,.8985765,.900102,.974359,,,,,,,,,,
18,"full",5,1225,.0021607,,.8965936,.8691207,.9024745,.9024745,.9024745,.8987543,.8909091,.9024745,.9024745,.9024745,,,,,,,,,,
19,"full",5,8553,.0084321,,.8932961,.8477443,.8701261,.9175659,.9448052,.9017282,.8477443,.8701261,.9448052,.9448052,,,,,,,,,,
21,"full",5,1512,.0040129,,.9133098,.8934911,.8985765,.9359756,.9359756,.9173227,.8934911,.8985765,.9359756,.9359756,,,,,,,,,,
22,"full",5,824,.0013137,,.8839752,.8491336,.8648897,.9065934,.9065934,.8852889,.8491336,.8648897,.9065934,.9065934,,,,,,,,,,
23,"full",5,4599,-.0019361,,.9287221,.8775773,.9104683,.9517652,.9517652,.9267859,.8773292,.9108281,.943662,.943662,,,,,,,,,,
25,"full",5,2079,-.0040992,,.9075524,.8730159,.9059829,.9314999,.9314999,.9034532,.8730159,.9059829,.9097254,.9314999,,,,,,,,,,
31,"full",5,1811,.0019152,,.8996211,.8305085,.9173061,.9173061,.9214876,.9015363,.874351,.9173061,.9173061,.9173061,,,,,,,,,,
33,"full",5,2628,-.0035141,,.92044,.8984771,.9245158,.9245158,.9410484,.9169259,.893617,.90201,.9344512,.9410484,,,,,,,,,,
43,"full",5,2405,-.0092372,,.8806413,.8461539,.8648649,.9082569,.94,.8714042,.8044693,.8648649,.9014373,.9305556,,,,,,,,,,
56,"full",5,10867,-.0153812,,.9037485,.8527132,.8899587,.9179398,.9429448,.8883673,.8762887,.8775773,.9052925,.9230769,,,,,,,,,,
58,"full",5,2658,.0002958,,.906106,.8693182,.8987916,.9314999,.9396378,.9064018,.877551,.8987916,.9314999,.9396378,,,,,,,,,,
62,"full",5,540,.0012065,,.9097998,.8933333,.9012346,.9294118,.9344512,.9110062,.8933333,.9056604,.9344512,.9388889,,,,,,,,,,
65,"full",5,1782,-.0020193,,.9158486,.8673537,.8980582,.9410484,.9549356,.9138293,.8673537,.8980582,.9410484,.95,,,,,,,,,,
69,"full",5,1610,-.0013224,,.9170392,.9191919,.9232097,.9232097,.9232097,.9157167,.9191919,.9232097,.9232097,.9232097,,,,,,,,,,
73,"full",5,1847,.0030001,,.9143535,.874351,.874351,.9347826,.9540541,.9173537,.874351,.9215891,.925,.9540541,,,,,,,,,,
77,"full",5,7613,.0007837,,.9142928,.888806,.9025974,.9295775,.9506173,.9150764,.888806,.8976778,.9346939,.9518072,,,,,,,,,,
79,"full",5,1551,-.0007316,,.8942032,.8714436,.8762887,.9190751,.9307692,.8934715,.8714436,.8714436,.9190751,.9344262,,,,,,,,,,
80,"full",5,5573,.0066031,,.9210683,.8902276,.9106858,.9313113,.939951,.9276714,.9022222,.9222904,.939951,.939951,,,,,,,,,,
81,"full",5,2470,.0079111,,.9147145,.8783784,.910101,.9243119,.9410484,.9226255,.8783784,.910101,.9410484,.982906,,,,,,,,,,
82,"full",5,2244,-.000804,,.916532,.8673537,.9068323,.9345238,.9410484,.915728,.8673537,.9163974,.9329242,.9435484,,,,,,,,,,
83,"full",5,1510,.0035121,,.9305075,.9026549,.9363636,.9411765,.9449036,.9340197,.9026549,.9363636,.9449036,.9449036,,,,,,,,,,
85,"full",5,1749,.0007918,,.9177243,.8673537,.9106383,.9329242,.9329242,.9185162,.8673537,.9163974,.9329242,.9329242,,,,,,,,,,
86,"full",5,2650,-.0004888,,.9321766,.9256945,.9256945,.9452297,.9521739,.9316879,.9026549,.9256945,.9466292,.9466292,,,,,,,,,,
87,"full",5,1222,-.0041828,,.9236995,.8776596,.9169776,.9329242,.9410484,.9195167,.9163974,.9169776,.9329242,.9410484,,,,,,,,,,
89,"full",5,1819,.0003269,,.9241655,.9147287,.9168591,.9329242,.9416342,.9244924,.9147287,.9168591,.9294118,.9416342,,,,,,,,,,
91,"full",5,1438,.0036842,,.908946,.8980582,.8987916,.9078531,.9410484,.9126301,.888806,.8987916,.9338843,.9410484,,,,,,,,,,
96,"full",5,2886,-.0022746,,.9207008,.8952497,.9074334,.9274691,.9521739,.9184262,.8899804,.9052925,.9274691,.967033,,,,,,,,,,
101,"full",5,944,.0025716,,.9175131,.8942308,.9082177,.9388186,.9388186,.9200847,.8942308,.9082177,.9388186,.9388186,,,,,,,,,,
102,"full",5,3357,-.0086349,,.9109688,.882939,.8904538,.9192293,.93,.9023339,.882939,.882939,.9192293,.93,,,,,,,,,,
104,"full",5,1947,.0011883,,.9142345,.912978,.9147975,.9147975,.9147975,.9154228,.9113924,.9147975,.9147975,.93,,,,,,,,,,
105,"full",5,1460,-.0002103,,.931826,.9009662,.9346405,.944212,.944212,.9316157,.9148936,.9346405,.936527,.944212,,,,,,,,,,
107,"full",5,1073,.0010513,,.8980451,.882939,.8881037,.9192293,.9224138,.8990964,.882939,.8881037,.9192293,.9224138,,,,,,,,,,
109,"full",5,2546,-.0025589,,.9098175,.8834783,.8897932,.9294425,.9375,.9072586,.8834783,.8897932,.9294425,.9382522,,,,,,,,,,
110,"full",5,5688,-.005486,,.8975747,.8638498,.8845628,.9129896,.9171917,.8920887,.8592592,.879227,.9171917,.9171917,,,,,,,,,,
111,"full",5,7660,-.0017996,,.8974771,.8779987,.8897932,.9109549,.9122341,.8956776,.8779987,.8897932,.9109549,.9129896,,,,,,,,,,
112,"full",5,6775,.0022677,,.9111248,.8943519,.9131386,.9235018,.9235018,.9133925,.887468,.9131386,.9235018,.9235018,,,,,,,,,,
113,"full",5,10840,-.0036544,,.9091238,.8900204,.9047195,.9231475,.9238705,.9054695,.8804892,.8971193,.9207792,.9239072,,,,,,,,,,
115,"full",5,2441,.0011122,,.9048861,.9022657,.9022657,.9022657,.9250321,.9059983,.8921695,.9022657,.9192308,.9250321,,,,,,,,,,
116,"full",5,2710,-.0002612,,.8969112,.8843683,.8861567,.9045237,.9045237,.89665,.8843683,.8905745,.9045237,.9066874,,,,,,,,,,
118,"full",5,11205,.0090443,,.8995392,.856338,.8922244,.9163148,.9181601,.9085835,.8677867,.8984771,.9303456,.9303456,,,,,,,,,,
119,"full",5,13437,.0005298,,.9045587,.877551,.8927875,.9117391,.9316239,.9050885,.877551,.8843789,.9184653,.9392601,,,,,,,,,,
120,"full",5,2441,-.0024505,,.8860402,.8604651,.875,.9010752,.9125067,.8835897,.8596491,.8604651,.8981418,.9083251,,,,,,,,,,
122,"full",5,2465,.0040326,,.886411,.8225166,.8832442,.9085923,.9148515,.8904436,.8303571,.8832442,.9085923,.9148515,,,,,,,,,,
123,"full",5,9094,.0150157,,.8925767,.8880911,.8880911,.9046025,.9125067,.9075924,.9046025,.9125067,.9125067,.9125067,,,,,,,,,,
127,"full",5,1120,-.0012139,,.9076207,.863354,.9107981,.9183047,.9325153,.9064068,.8571429,.9012346,.9183047,.9303456,,,,,,,,,,
129,"full",5,4896,-.0038811,,.9068311,.8743061,.8905745,.9175513,.9449415,.90295,.8692307,.8813559,.9175513,.9449415,,,,,,,,,,
130,"full",5,15277,-.0041907,,.8952669,.8677867,.8835227,.9132492,.9296255,.8910761,.8303571,.8834081,.91201,.9296255,,,,,,,,,,
131,"full",5,2855,.0025906,,.9129084,.8976744,.91201,.9274448,.9274448,.915499,.8981418,.912228,.9274448,.9274448,,,,,,,,,,
133,"full",5,1172,-.0067154,,.8835652,.8251231,.8908252,.8908252,.8908252,.8768498,.8251231,.8795054,.8908252,.8908252,,,,,,,,,,
134,"full",5,3829,-.0004034,,.8969566,.8711234,.8732674,.9190548,.9190548,.8965532,.8711234,.8732674,.9190548,.9190548,,,,,,,,,,
137,"full",5,6920,-.0113359,,.9164577,.9022657,.9067722,.9250321,.9392601,.9051218,.9043825,.9043825,.9043825,.912676,,,,,,,,,,
139,"full",5,1522,.00128,,.8973678,.8429752,.8905745,.9045237,.9169812,.8986478,.8429752,.9045237,.9045237,.9230769,,,,,,,,,,
140,"full",5,1553,.0017804,,.8978505,.8686869,.8916324,.8986742,.9397163,.8996309,.8916324,.8916324,.9,.9397163,,,,,,,,,,
141,"full",5,2784,.0030823,,.8925651,.8611111,.8905745,.9045237,.9166667,.8956474,.8611111,.8905745,.9045237,.9166667,,,,,,,,,,
142,"full",5,288,.0010589,,.8848442,.8369906,.8451817,.904943,.904943,.8859031,.8369906,.8451817,.904943,.904943,,,,,,,,,,
144,"full",5,17007,-.0062535,,.9068662,.8850502,.8979167,.914641,.9350074,.9006127,.9003181,.9003181,.9003181,.9003181,,,,,,,,,,
145,"full",5,2871,.0101827,,.8872429,.802935,.9020234,.9090909,.9090909,.8974256,.8415841,.9020234,.9090909,.9090909,,,,,,,,,,
146,"full",5,1524,.0005717,,.9020398,.8700516,.896914,.9184653,.9184653,.9026114,.8700516,.896914,.9184653,.9184653,,,,,,,,,,
147,"full",5,1822,.001251,,.903442,.8821218,.8980178,.9064362,.9339339,.9046931,.8821218,.8980178,.9064362,.9339339,,,,,,,,,,
148,"full",5,1433,.00092,,.8783693,.8677589,.8677589,.8813559,.8981481,.8792893,.8677589,.8677589,.8813559,.9003181,,,,,,,,,,
149,"full",5,3670,-.0017669,,.918847,.9010897,.9010897,.9405631,.9405631,.9170801,.8763636,.9010897,.9405631,.9405631,,,,,,,,,,
150,"full",5,766,-.003506,,.9306112,.9027982,.9027982,.9667519,.9667519,.9271052,.9027982,.9027982,.936,.9667519,,,,,,,,,,
151,"full",5,2246,.0055301,,.9175241,.8854626,.8977273,.9443962,.9443962,.9230542,.8854626,.9057093,.9443962,.9443962,,,,,,,,,,
154,"full",5,1323,.0002867,,.9169832,.8650928,.8934817,.9526627,.9793282,.9172699,.8857023,.8937446,.9526627,.9793282,,,,,,,,,,
155,"full",5,4834,.0022446,,.8813622,.84,.8666667,.9065355,.9174757,.8836068,.84,.8697017,.9040819,.9156737,,,,,,,,,,
156,"full",5,3599,-.0011126,,.8917025,.8441247,.8849765,.9113475,.925988,.8905898,.8404256,.8835227,.925988,.925988,,,,,,,,,,
