hrr,mfx_10,pfx_10,pfx_fam_10,pfx_m0_10,mfx_25,pfx_25,pfx_fam_25,pfx_m0_25,mfx_50,pfx_50,pfx_fam_50,pfx_m0_50,mfx_75,pfx_75,pfx_fam_75,pfx_m0_75,mfx_90,pfx_90,pfx_fam_90,pfx_m0_90,mfx_mean,pfx_mean,pr_mean,pr_obs,pfx_fam_mean,pfx_m0_mean,mfx_sd,pfx_sd,pfx_fam_sd,pfx_m0_sd,mfx_count,pfx_count,hrr_group,eta
456,0,0,-.1644375,0,0,0,-.0579918,0,0,0,.0598911,0,0,0,.2424607,0,0,0,.3480151,0,0,0,.582046,.4649298,.0822237,0,0,0,.1911728,0,998,998,305,5
452,.0017156,-.0379087,-.0469905,-.0156221,.0070778,-.0267308,-.0083126,-.0020411,.0184215,-.0130459,.0532527,.0004323,.0359723,-.0046586,.2776723,.0054238,.0489158,-.001243,.6026284,.0118794,.0221813,-.0166029,.265614,.2671928,.1613089,-.0005679,.0178594,.0136495,.2528872,.0137836,1774,1774,304,5
451,8.08e-19,0,-.0306911,0,1.59e-18,0,-.0065193,0,3.16e-18,0,.0564135,0,5.23e-18,0,.2828974,0,7.09e-18,0,.5501139,0,3.59e-18,0,.247515,.2346758,.1604114,0,2.39e-18,0,.2248724,0,41095,41095,303,5
450,1.64e-27,0,-.089907,0,3.53e-27,0,-.0328203,0,6.94e-27,0,.2058996,0,1.13e-26,0,.4551909,0,1.58e-26,0,.5783951,0,7.90e-27,0,.4578031,.461183,.2159976,0,5.31e-27,0,.2599299,0,2164,2164,302,5
449,9.29e-20,0,-.0461401,0,2.23e-19,0,-.0132171,0,5.22e-19,0,.0938789,0,1.01e-18,0,.4808891,0,1.51e-18,0,.6594054,0,6.71e-19,0,.3494204,.3374692,.2207794,0,5.40e-19,0,.2799256,0,8946,8946,301,5
448,.0112716,-.0564066,-.0643788,-.0261962,.0229289,-.0464598,.0472295,-.0067466,.0397791,-.0308063,.2492488,.0029925,.0619051,-.017843,.4178913,.008421,.0753211,-.0091549,.590141,.0179685,.0415495,-.0317188,.5273069,.3961977,.2502008,-.0003277,.0229498,.0172069,.2594555,.0206492,1315,1315,300,5
447,.0035949,-.0186943,-.1240349,-.0121776,.0078392,-.0141168,-.0330554,-.0025749,.0127659,-.0097825,.11632,.0003054,.0181731,-.0061422,.3341037,.0043817,.0240756,-.0029214,.5179037,.0099683,.0134131,-.0103879,.3886306,.3952615,.1559235,-.0000377,.0074751,.00573,.2387486,.0100695,3461,3461,299,5
446,0,0,-.0314125,0,0,0,.0101443,0,0,0,.1025721,0,0,0,.3185094,0,0,0,.534821,0,0,0,.306316,.25,.180957,0,0,0,.2160548,0,1188,1188,298,5
445,0,0,-.0624507,0,0,0,-.0251328,0,0,0,.0429703,0,0,0,.2471128,0,0,0,.3694614,0,0,0,.3858352,.3579627,.1078315,0,0,0,.1692179,0,2788,2788,297,5
443,.0023118,-.009801,-.0380117,-.0054719,.0042308,-.0075706,-.0054069,-.0006605,.0068839,-.0051728,.0400481,.0003542,.0100482,-.003192,.1529707,.001979,.0127777,-.0017346,.2872247,.0040442,.0072239,-.0054759,.2920704,.2484798,.0817652,.0000197,.0038786,.0029679,.1297227,.0044413,7236,7236,295,5
