coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1.6807061,.0710609,1,1,1,-11533.33,3,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.9442172,.09975346,1,1,1,-11533.33,20,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.9342066,.08593122,1,1,1,-11533.33,5,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.1920296,.07693749,1,1,1,-11533.33,7,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.6218211,.09296963,1,1,1,-11533.33,15,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.2818652,.06369789,1,1,1,-11533.33,2,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.7016013,.07737975,1,1,1,-11533.33,4,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
.90695139,.05436418,1,1,1,-11533.33,1,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.377736,.08367566,1,1,1,-11533.33,10,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.3769736,.0834966,1,5,1,-11533.11,10,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.7020619,.07736506,1,5,1,-11533.11,4,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.1921422,.07694871,1,5,1,-11533.11,7,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.9342071,.08592827,1,5,1,-11533.11,5,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.6810948,.07107963,1,5,1,-11533.11,3,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.6207001,.09290965,1,5,1,-11533.11,15,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
2.944427,.09946706,1,5,1,-11533.11,20,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.2818004,.06372511,1,5,1,-11533.11,2,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
.90695137,.05435521,1,5,1,-11533.11,1,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001
1.6412704,.2643173,2,1,1,-694.827,3,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.6867318,.27084385,2,1,1,-694.827,4,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.7683104,.3060271,2,1,1,-694.827,5,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.3365248,.27253122,2,1,1,-694.827,2,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
2.225041,.25421287,2,1,1,-694.827,10,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.8243184,.29401178,2,1,1,-694.827,7,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.0658059,.2342994,2,1,1,-694.827,1,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
2.4404412,.21288217,2,1,1,-694.827,15,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
3.0238174,.21303523,2,1,1,-694.827,20,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.0730417,.23435871,2,5,1,-694.8777,1,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.7693127,.30458062,2,5,1,-694.8777,5,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
2.4363313,.20966206,2,5,1,-694.8777,15,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.6874026,.27096892,2,5,1,-694.8777,4,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.8226261,.29454497,2,5,1,-694.8777,7,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.3416394,.27340465,2,5,1,-694.8777,2,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
2.2240938,.25437575,2,5,1,-694.8777,10,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
1.64394,.26355444,2,5,1,-694.8777,3,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
3.0214977,.21421596,2,5,1,-694.8777,20,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867
2.2660522,.17295927,5,1,1,-2510.193,10,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.4915377,.1749999,5,1,1,-2510.193,2,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.9097952,.16453057,5,1,1,-2510.193,5,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.568727,.18473106,5,1,1,-2510.193,20,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.6320738,.17856834,5,1,1,-2510.193,4,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.039627,.1769016,5,1,1,-2510.193,15,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.3116683,.14385901,5,1,1,-2510.193,1,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.4900128,.18957556,5,1,1,-2510.193,3,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.9523659,.17728388,5,1,1,-2510.193,7,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.4898247,.18962921,5,5,1,-2510.169,3,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.2661659,.17280175,5,5,1,-2510.169,10,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.9098032,.16450735,5,5,1,-2510.169,5,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.311793,.14379177,5,5,1,-2510.169,1,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.0393226,.17698345,5,5,1,-2510.169,15,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.9522952,.17731352,5,5,1,-2510.169,7,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.6321555,.17845269,5,5,1,-2510.169,4,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.5680852,.18491335,5,5,1,-2510.169,20,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
1.4919098,.17490011,5,5,1,-2510.169,2,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791
2.9434774,.14590749,6,1,1,-3748.79,20,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.3352588,.12206846,6,1,1,-3748.79,10,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.420769,.1205042,6,1,1,-3748.79,15,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.3840293,.12804287,6,1,1,-3748.79,3,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.2421401,.12064153,6,1,1,-3748.79,2,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.9789974,.14143601,6,1,1,-3748.79,5,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.0187763,.10627654,6,1,1,-3748.79,1,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.8947547,.13476295,6,1,1,-3748.79,7,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.6926493,.13671208,6,1,1,-3748.79,4,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.420769,.1205042,6,5,1,-3748.79,15,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.3840293,.12804287,6,5,1,-3748.79,3,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.9789974,.14143601,6,5,1,-3748.79,5,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.2421401,.12064153,6,5,1,-3748.79,2,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.6926493,.13671208,6,5,1,-3748.79,4,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.0187763,.10627654,6,5,1,-3748.79,1,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
1.8947547,.13476295,6,5,1,-3748.79,7,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.9434774,.14590749,6,5,1,-3748.79,20,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.3352588,.12206846,6,5,1,-3748.79,10,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486
2.0544773,.17900849,7,1,1,-1573.152,10,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.2212558,.19307154,7,1,1,-1573.152,3,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.6665304,.17576256,7,1,1,-1573.152,4,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
2.5357412,.17913999,7,1,1,-1573.152,20,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
.74433417,.15947256,7,1,1,-1573.152,1,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.5692439,.18902459,7,1,1,-1573.152,5,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.1607397,.17587023,7,1,1,-1573.152,2,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.5994891,.16837405,7,1,1,-1573.152,7,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
2.2474142,.16720173,7,1,1,-1573.152,15,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.1604447,.17583995,7,5,1,-1573.153,2,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
2.5359081,.17887717,7,5,1,-1573.153,20,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
2.0548031,.17886196,7,5,1,-1573.153,10,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.221221,.19309553,7,5,1,-1573.153,3,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
2.2475248,.16714917,7,5,1,-1573.153,15,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.6002985,.1687307,7,5,1,-1573.153,7,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
.74379098,.15949731,7,5,1,-1573.153,1,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.6667123,.17558052,7,5,1,-1573.153,4,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
1.5696985,.18895633,7,5,1,-1573.153,5,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899
.12048608,.76617185,9,1,1,-127.099,4,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.5659682,.6439946,9,1,1,-127.099,3,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.9939157,1.1750239,9,1,1,-127.099,20,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.4019628,.66722494,9,1,1,-127.099,10,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.0686688,.70529226,9,1,1,-127.099,2,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.3923802,1.0215408,9,1,1,-127.099,15,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.8710702,.88777431,9,1,1,-127.099,7,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.0153134,.36196001,9,1,1,-127.099,1,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.3753553,.69462617,9,1,1,-127.099,5,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.9928183,1.1666356,9,5,1,-127.0855,20,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.4031037,.66451533,9,5,1,-127.0855,10,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.0722503,.70029932,9,5,1,-127.0855,2,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.4045433,1.024487,9,5,1,-127.0855,15,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
.12197282,.76759535,9,5,1,-127.0855,4,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.0109734,.35473344,9,5,1,-127.0855,1,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.3722733,.68865969,9,5,1,-127.0855,5,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.5716747,.65496517,9,5,1,-127.0855,3,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
2.8711919,.89051589,9,5,1,-127.0855,7,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913
1.3631819,.08729598,11,1,1,-7197.632,2,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
.89103487,.07167219,11,1,1,-7197.632,1,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.7597234,.12462271,11,1,1,-7197.632,7,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.4545097,.16420892,11,1,1,-7197.632,15,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.8585794,.12478025,11,1,1,-7197.632,5,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.4460447,.10782547,11,1,1,-7197.632,3,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.0781213,.15864542,11,1,1,-7197.632,10,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.6675477,.13737561,11,1,1,-7197.632,4,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.9911867,.13734602,11,1,1,-7197.632,20,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
.89064334,.07169956,11,5,1,-7197.664,1,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.8586061,.12489144,11,5,1,-7197.664,5,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.4551743,.16494404,11,5,1,-7197.664,15,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.0777672,.15870225,11,5,1,-7197.664,10,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.6676282,.13792316,11,5,1,-7197.664,4,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.4459231,.10789958,11,5,1,-7197.664,3,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
2.9915689,.13765679,11,5,1,-7197.664,20,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
1.7595982,.12464218,11,5,1,-7197.664,7,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286
