coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.06203609,.00182184,1,1,1,-11533.33,.18022696,.1336401,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001,.8771433,72,575
-.06203213,.00182141,1,5,1,-11533.11,.39398606,.2624694,7974,674,209,7.304113,68.2569,1.036024,3.016412,.0396767,.0385001,.8771433,72,575
-.04239964,.00725741,2,1,1,-694.827,.54875981,.8397538,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867,.8805657,17,122
-.04239125,.00725466,2,5,1,-694.8777,.82554734,1.457304,2815,171,76,4.936767,220.866,2.655439,4.645081,.4367813,.0024867,.8805657,17,122
-.08487244,.00447824,5,1,1,-2510.193,.11031827,.3200345,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791,.8954563,35,225
-.08487522,.00447499,5,5,1,-2510.169,.21516644,.510901,3197,273,102,3.781983,174.513,1.230851,2.424028,.3788719,.0043791,.8954563,35,225
-.05975356,.00398167,6,1,1,-3748.79,1.808e-13,0,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486,.8917692,27,237
-.05975356,.00398167,6,5,1,-3748.79,7.835e-20,0,3958,295,122,5.415866,99.27052,1.436657,2.946898,.17748,.0141486,.8917692,27,237
-.0473968,.00399353,7,1,1,-1573.152,.01455374,.3813684,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899,.8943936,27,134
-.04738619,.0039876,7,5,1,-1573.153,2.187e-16,2.39e-13,1868,164,63,5.979122,84.77322,.9875078,2.615426,.223802,.0240899,.8943936,27,134
-.20283874,.03443985,9,1,1,-127.099,.17041574,.8198619,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913,.9029956,19,43
-.20324966,.03452325,9,5,1,-127.0855,.52025657,1.855077,149,49,30,4.09396,57.63945,.6725664,2.489796,.1229224,.0536913,.9029956,19,43
-.0696461,.00732262,11,1,1,-7197.632,.12387494,.2069434,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286,.9046231,33,384
-.06965177,.00731673,11,5,1,-7197.664,.22629888,.418349,6300,602,232,11.39286,245.5477,1.29858,5.276351,.1421855,.0114286,.9046231,33,384
-.04735604,0,12,1,1,-15888.23,.03065552,0,15176,1191,473,8.753361,182.8849,.7835709,2.873288,.0763428,.0506721,.9131451,67,765
-.04736046,0,12,5,1,-15888.16,.11527037,0,15176,1191,473,8.753361,182.8849,.7835709,2.873288,.0763428,.0506721,.9131451,67,765
-.05488451,.00902024,14,1,1,-4352.966,.33470738,.2579746,3600,420,154,6.431944,243.4392,1.363519,4.12667,.2445769,.0175,.901529,30,315
-.05494131,.0090217,14,5,1,-4352.848,.65046713,.4841622,3600,420,154,6.431944,243.4392,1.363519,4.12667,.2445769,.0175,.901529,30,315
-.03665761,.00213002,15,1,1,-3853.87,.75199446,.3177319,4608,364,189,6.629557,108.6495,.6846333,2.304889,.2072553,.0405816,.9119908,13,218
-.03680464,.00213441,15,5,1,-3853.137,1.5265259,.5930727,4608,364,189,6.629557,108.6495,.6846333,2.304889,.2072553,.0405816,.9119908,13,218
