hrr,coef_m,pij_diff_full,pij_diff_current,pij_diff_fullfam,health_full,health_current,health_fullfam,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual_full,corr_realloc_qual_fullfam,realloc_to_highq_full,realloc_to_lowq_full,realloc_to_highq_fullfam,realloc_to_lowq_fullfam,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.23126517,.3049049,.2318874,.3525618,.0005054,.0010271,-.0005775,.8720628,6507,.0610359,.8529309,4.466155,.0536416,.0289997,-.0188308,144.7685,-144.7685,129.4082,-129.4083,.6686797,.7061201,159,1
2,.09191267,.1474278,.1322205,.1917094,-.0000592,.0004269,-.0028269,.884815,2142,.2591583,.8793734,4.877545,.0414323,-.004981,-.177692,-20.53286,20.53286,-24.54252,24.54252,.7904399,.3825665,40,1
5,.28421617,.1818177,.1606361,.2185941,.0021219,.0024391,-.004129,.8916625,2773,.0569865,3.14171,17.03189,.0486559,.0887084,-.1066629,106.8453,-106.8454,-144.3533,144.3533,1.051642,.7103188,82,1
6,0,.2802057,.2122245,.3224893,-.0025196,-.0001144,-.0041625,.889644,3016,.2519022,.6327857,2.727859,.0400983,-.2258274,-.193964,-1.86033,1.860334,-104.0626,104.0626,.3012368,.0613138,52,1
7,0,.198765,.1635588,.2251014,.0000579,.0012107,-.0049305,.8953258,1403,.2506213,1.025507,4.049901,.047426,.0050724,-.2300441,4.410667,-4.41067,-89.47044,89.47044,.5529622,-.0359505,61,1
9,1.8607966,.3467481,.2857014,.3472498,-.0046212,-.0015512,-.0017107,.8910313,122,-.1745091,6.629132,24.48558,.046041,-.1791207,-.0677836,-5.502532,5.502532,-1.2972,1.2972,-.0336326,2.047311,33,1
10,.72477554,.1479401,.1204291,.167965,.0013207,.0006785,.0020143,.8858372,876,-.2669428,4.509885,17.68846,.045503,.1579358,.1867008,28.89549,-28.89549,14.22986,-14.22986,-3.546107,-1.168521,26,1
11,9.552e-51,.2799683,.2305886,.2993766,.0021863,.0009206,.0017168,.8979091,3317,-.005771,.8705613,4.480669,.039589,.1756767,.0997717,22.99624,-22.99623,5.396798,-5.396798,.5085523,.5637422,89,1
14,0,.2683728,.2122184,.3021143,.0014798,.0005004,.0011884,.896781,2927,-.0436686,.7950618,3.531495,.0386479,.0722249,.0381307,152.2237,-152.2237,156.2273,-156.2273,-.8660291,-.8077061,79,1
15,.5647073,.3150942,.2091186,.3376431,-.0015865,-.0005383,-.0029143,.904195,3007,.1654308,.5929519,2.152934,.0397728,-.1189814,-.1982249,-203.5092,203.5091,-179.6799,179.6799,-.0749145,-.5473195,24,1
16,.08683799,.220985,.1759457,.2446216,.0002624,.0009087,-.0027544,.8905006,1676,.0977119,3.14931,15.96839,.0363594,.0476685,-.1973114,13.30431,-13.30431,-69.78676,69.78675,.579933,-.8020703,44,1
18,0,.288655,.1928914,.2873437,.0003099,.0002903,.0023143,.8885023,1170,-.0896209,2.526251,13.67725,.0385107,.0131022,.1507062,90.54806,-90.54806,48.43866,-48.43866,-1.117865,-.2859882,27,1
19,0,.2736995,.2128243,.3021094,.0014856,.0028333,-.0027015,.8911069,8155,-.0439927,.9281774,4.521065,.0422451,.0767123,-.1138364,183.6885,-183.6885,21.16189,-21.16189,-1.113466,-1.166448,110,1
21,.32495662,.1952511,.1523692,.2714637,-.0012769,-.000459,-.0008223,.9025668,1494,.3630318,3.808863,16.08728,.0282101,-.1402004,-.0419297,-33.03298,33.03299,-34.60004,34.60004,-.3177048,-1.087751,43,1
22,.86843341,.1339474,.1188479,.1426417,.0012569,.0010039,.0028088,.8586521,808,.0676013,2.745325,15.84597,.029316,.2552565,.5391271,22.773,-22.773,35.48137,-35.48136,.0559935,-1.215823,30,1
23,0,.3461385,.2588012,.398008,-.0016977,.0005157,-.0087668,.927015,4278,.1467625,3.74882,18.97931,.0418294,-.0549599,-.2149325,-134.2779,134.2779,-404.6116,404.6116,-.1235919,-1.1185,111,1
25,.49501493,.2281814,.1770731,.2537091,.0015133,.0016716,-.0038847,.9103762,2264,.1284877,.9304806,4.946466,.0527751,.041161,-.1451939,100.687,-100.687,-59.9753,59.97531,1.016196,.5108304,53,1
