coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1.2297485,.046497,1,1,1,-16708.57,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.7388627,.09686438,1,1,1,-16708.57,10,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0269666,.07796699,1,1,1,-16708.57,4,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.5442267,.0625315,1,1,1,-16708.57,2,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.892401,.11550063,1,1,1,-16708.57,15,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8415719,.06986515,1,1,1,-16708.57,3,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3616781,.08067385,1,1,1,-16708.57,7,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
3.1646979,.13455853,1,1,1,-16708.57,20,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2296939,.082652,1,1,1,-16708.57,5,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3601865,.0807156,1,5,1,-16708.37,7,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.5442033,.0625405,1,5,1,-16708.37,2,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0263165,.07792298,1,5,1,-16708.37,4,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2296074,.04649432,1,5,1,-16708.37,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8414878,.06985436,1,5,1,-16708.37,3,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
3.1596765,.13416551,1,5,1,-16708.37,20,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.7362403,.09647881,1,5,1,-16708.37,10,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2288775,.08266826,1,5,1,-16708.37,5,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.8888475,.11540876,1,5,1,-16708.37,15,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.9983683,.14854381,2,1,1,-4633.379,20,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
1.4500141,.12629273,2,1,1,-4633.379,10,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
1.0952995,.11986345,2,1,1,-4633.379,5,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
.52552504,.06899564,2,1,1,-4633.379,1,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
.93471826,.10102684,2,1,1,-4633.379,3,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
.75119086,.08225407,2,1,1,-4633.379,2,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
1.3522529,.12061554,2,1,1,-4633.379,7,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
.9361135,.1245512,2,1,1,-4633.379,4,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
1.8000719,.13431384,2,1,1,-4633.379,15,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
