coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-.06622524,.00179727,1,1,1,-16708.57,.23126517,.1223741,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.06621982,.00179704,1,5,1,-16708.37,.52291637,.2590014,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.0729996,.00493702,2,1,1,-4633.379,.09191267,.228388,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
-.07299365,.00493416,2,5,1,-4633.329,.23188256,.4556455,2815,171,150,14.74565,31.2254,.6542011,4.67263,.4367813,.0024867
-.07926409,.00648342,5,1,1,-6122.569,.28421617,.2207184,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
-.0792845,.00648684,5,5,1,-6122.795,.53051753,.4747213,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
-.07050253,.00396684,6,1,1,-7112.188,0,0,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
-.07050118,.0039687,6,5,1,-7112.236,0,0,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
-.04801187,.00362185,7,1,1,-3221.196,0,0,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
-.0480195,.00361679,7,5,1,-3221.21,6.343e-13,0,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
-.19250609,.03676115,9,1,1,-217.5368,1.8607966,1.10626,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
-.19493186,.03720702,9,5,1,-217.4276,4.281769,2.279501,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
-.05135885,.00447408,10,1,1,-1593.653,.72477554,.3001335,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
-.05131079,.00447981,10,5,1,-1594.175,1.2870011,.6148649,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
-.05917869,.0066868,11,1,1,-10711.94,9.552e-51,0,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
-.05911934,.0066829,11,5,1,-10711.88,0,0,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
-.06555756,.00975434,14,1,1,-8304.895,0,0,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
-.0655544,.00974841,14,5,1,-8305.058,5.684e-19,0,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
-.03618812,.00249126,15,1,1,-6377.389,.5647073,.2428057,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
-.03623965,.00249621,15,5,1,-6377.143,1.2019037,.5323607,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
-.04728525,.00475812,16,1,1,-3895.522,.08683799,.2767724,2026,182,134,11.10266,21.48737,.4808415,2.655275,.2472892,.2729516
-.04730265,.00475263,16,5,1,-3895.583,.03612677,.6388846,2026,182,134,11.10266,21.48737,.4808415,2.655275,.2472892,.2729516
-.0517382,.00898893,18,1,1,-2115.384,0,0,1445,92,84,9.829758,20.94653,.5182872,2.830555,.3223462,.2574394
-.05174609,.00898883,18,5,1,-2115.447,1.061e-24,0,1445,92,84,9.829758,20.94653,.5182872,2.830555,.3223462,.2574394
-.06074334,.00210885,19,1,1,-19927.98,0,0,10718,582,289,12.6838,33.54679,.52513,2.798798,.0859526,.0841575
-.06074795,.00211218,19,5,1,-19928.13,0,0,10718,582,289,12.6838,33.54679,.52513,2.798798,.0859526,.0841575
-.06413508,.00607699,21,1,1,-2609.043,.32495662,.3517176,2972,243,165,8.068641,32.29871,.7176109,2.135455,.221752,.1813594
-.06416833,.00609319,21,5,1,-2609.171,.59223823,.8354779,2972,243,165,8.068641,32.29871,.7176109,2.135455,.221752,.1813594
-.0368211,.00736319,22,1,1,-1697.628,.86843341,.3257955,1206,124,129,12.20813,26.4746,.3455233,2.75624,.2385626,.2852405
-.0367524,.00737778,22,5,1,-1698.218,1.7979783,.7383264,1206,124,129,12.20813,26.4746,.3455233,2.75624,.2385626,.2852405
-.11676026,.00516519,23,1,1,-10478.5,0,0,5671,501,344,10.08447,23.67465,.4422151,1.894159,.1335274,.0774114
-.11676609,.00516549,23,5,1,-10478.58,2.176e-24,0,5671,501,344,10.08447,23.67465,.4422151,1.894159,.1335274,.0774114
-.04815222,.00333136,25,1,1,-4584.559,.49501493,.2697151,3242,209,204,12.58267,22.43335,.4206212,2.532488,.092399,.0271437
-.04812253,.00333859,25,5,1,-4585.635,.73341528,.5615869,3242,209,204,12.58267,22.43335,.4206212,2.532488,.092399,.0271437
-.03774534,.00462606,31,1,1,-2832.13,0,0,2110,127,124,10.53649,26.0823,.7497056,3.602094,.2369803,.0492891
-.03774615,.00462087,31,5,1,-2832.255,0,0,2110,127,124,10.53649,26.0823,.7497056,3.602094,.2369803,.0492891
-.07501029,.00484755,33,1,1,-5720.312,.17992742,.3142889,3105,282,176,10.0219,28.53652,.375,2.044251,.292503,.0866345
-.07498996,.00486159,33,5,1,-5720.575,.12812124,.6366495,3105,282,176,10.0219,28.53652,.375,2.044251,.292503,.0866345
-.06108159,.00536576,43,1,1,-4926.861,.23550929,.274786,3063,210,147,10.43226,31.62152,.3690795,2.078181,.4532851,.029383
-.06106425,.00536367,43,5,1,-4926.762,.53728206,.5986745,3063,210,147,10.43226,31.62152,.3690795,2.078181,.4532851,.029383
-.13330001,.00365812,56,1,1,-23488.83,.03487122,.1263424,12863,955,535,9.212858,38.9764,.6467373,2.216669,.0293402,.0289979
-.13330006,.00365808,56,5,1,-23488.87,2.634e-11,8.08e-09,12863,955,535,9.212858,38.9764,.6467373,2.216669,.0293402,.0289979
-.06300139,.00396702,58,1,1,-5540.469,.22168099,.2361659,3302,239,217,11.98244,21.04807,.5113537,2.312842,.0567536,.1926105
-.06294475,.0039661,58,5,1,-5540.926,.05977902,.5124779,3302,239,217,11.98244,21.04807,.5113537,2.312842,.0567536,.1926105
-.02893821,.00365716,62,1,1,-1451.936,.11598491,.4749582,1112,139,116,7.988309,27.48148,.8152562,2.480543,.184841,.0305755
-.02888319,.00370202,62,5,1,-1451.96,9.048e-22,0,1112,139,116,7.988309,27.48148,.8152562,2.480543,.184841,.0305755
-.05198388,.0051404,65,5,1,-3879.027,1.159e-23,0,2092,282,172,7.819312,20.94511,.3400143,1.470504,.0765865,.040631
-.06101482,.00966694,69,1,1,-2401.584,.26954513,.2654188,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269
-.06108976,.00965473,69,5,1,-2401.787,.41345175,.5368809,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269
-.05096524,.00502221,73,1,1,-3610.263,.62559749,.2569181,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206
-.05096771,.00501863,73,5,1,-3609.562,1.3190785,.5185919,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206
-.06131615,.00233121,77,1,1,-18098.23,.04753712,.1578986,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588
-.06131677,.00233122,77,5,1,-18098.29,.03018239,.3577715,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588
-.07035011,.00601692,78,1,1,-2842.828,0,0,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916
-.07027647,.00601086,78,5,1,-2842.98,3.591e-14,0,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916
-.05939558,.0037794,79,1,1,-3429.904,1.93e-289,0,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183
-.05939509,.00378127,79,5,1,-3429.913,.02090482,.6889131,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183
-.07873545,.00376197,80,1,1,-12631.56,.40051015,.1892843,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842
-.07874141,.00376118,80,5,1,-12631.8,.82116127,.4264233,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842
-.12837952,.00931464,81,1,1,-5966.784,.42220529,.2765515,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326
-.12840655,.00932043,81,5,1,-5967.232,.74606823,.6041831,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326
