coef_val,coef_se,hrr,eta,converged,log_like,Specialist_ID,time_period,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
.25771169,.54834541,1,1,1,-16708.57,1013950120,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.5217749,.4485126,1,1,1,-16708.57,1013950120,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3639705,.45512974,1,1,1,-16708.57,1023052610,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4120686,.41805825,1,1,1,-16708.57,1023052610,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.06754227,.7372803,1,1,1,-16708.57,1023077146,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1422825,.24746732,1,1,1,-16708.57,1023086022,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3788343,.28825137,1,1,1,-16708.57,1023086022,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.57141319,.41664683,1,1,1,-16708.57,1023087723,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30360856,.6375488,1,1,1,-16708.57,1023087723,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.082498,.46925182,1,1,1,-16708.57,1033114327,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.702324,.45655389,1,1,1,-16708.57,1033114327,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.70865949,.75386848,1,1,1,-16708.57,1033163308,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2710286,.46977183,1,1,1,-16708.57,1033163308,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.21380244,.18955181,1,1,1,-16708.57,1043209513,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.08723807,.20246649,1,1,1,-16708.57,1043209513,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2471846,.31950023,1,1,1,-16708.57,1053330316,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2241915,.29795884,1,1,1,-16708.57,1053389031,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
